sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4654,14514.122,431.646,34004.183,607.606,325185,25617425,457747
Burst Shot,184.727,29000.07,53.944,7110.928,171.722,40639,5357096,129369
Refulgent Arrow,91.6279,41438.328,34.054,5039.957,236.128,25655,3796907,177890
Shot,248.0,9506.004,26.335,3129.295,54.595,19840,2357489,41130
Heartbreak Shot,89.95609999999999,26103.599,21.493,3116.936,123.076,16192,2348178,92721
Pitch Perfect,32.5093,56561.815,14.312,2440.775,213.458,10782,1838785,160811
Empyreal Arrow,49.0,36650.898,16.911,2383.843,93.784,12740,1795894,70653
Radiant Encore,7.0,220410.286,9.69,2047.985,212.468,7300,1542872,160065
Apex Arrow,12.000000000000002,114940.25,10.849,1830.839,342.238,8173,1379283,257829
Blast Arrow,11.6451,118342.479,10.82,1829.282,150.678,8151,1378110,113515
Resonant Arrow,7.0,135345.857,5.947,1257.592,129.36,4480,947421,97455
Stormbite (dot),251.0,3739.968,8.329,1246.059,21.821,6275,938732,16439
Sidewinder,13.0,68550.0,6.902,1182.899,91.475,5200,891150,68914
Caustic Bite (dot),250.0,2993.9,6.637,993.514,17.439,5000,748475,13138
Iron Jaws,18.0,14778.111,2.389,353.092,23.058,1800,266006,17371
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
