sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,435,53948.123,295.381,43638.667,659.263,222750,32908355,497157
Resolution,23,146938.435,25.925,4481.553,259.231,19550,3379584,195489
Scorch,23,133439.87,22.875,4069.853,234.844,17250,3069117,177098
Veraero III,51,59834.608,29.757,4046.578,151.364,22440,3051565,114145
Verthunder III,49,59521.041,28.59,3867.514,147.445,21560,2916531,111190
Enchanted Redoublement,23,95213.391,17.08,2903.964,168.026,12880,2189908,126710
Fleche,30,70522.933,19.095,2805.543,139.172,14400,2115688,104951
Prefulgence,7,263314.429,11.139,2444.207,251.462,8400,1843201,189630
Verfire,35,52158.686,17.637,2420.806,109.939,13300,1825554,82906
Verstone,34,51356.559,17.133,2315.475,105.935,12920,1746123,79887
Vice of Thorns,7,210105.857,8.818,1950.3,200.564,6650,1470741,151247
Enchanted Zwerchhau,23,63673.913,11.59,1942.024,112.442,8740,1464500,84794
Verflare,12,119360.5,10.343,1899.36,151.937,7800,1432326,114577
Contre Sixte,22,61140.818,12.253,1783.689,103.168,9240,1345098,77800
Enchanted Riposte,23,55246.609,10.37,1684.996,97.343,7820,1270672,73407
Grand Impact,15,84056.133,11.935,1671.96,116.541,9000,1260842,87885
Verholy,11,112562.636,9.481,1641.921,137.436,7150,1238189,103642
Engagement,22,30056.864,5.251,876.863,51.485,3960,661251,38825
Corps-a-corps,22,21915.636,3.793,639.355,37.5,2860,482144,28279
Jolt III,3,48440.333,1.432,192.705,29.627,1080,145321,22342
