sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4431,14490.365,432.435,33967.759,607.802,325780,25589985,457894
Burst Shot,184.6948,28998.45,53.934,7109.292,171.632,40632,5355863,129301
Refulgent Arrow,91.6606,41320.731,34.066,5027.448,235.813,25664,3787483,177652
Shot,248.0,9502.419,26.335,3128.115,54.565,19840,2356600,41107
Heartbreak Shot,89.93369999999999,26104.497,21.488,3116.267,123.076,16188,2347674,92721
Pitch Perfect,32.50940000000001,56392.705,14.312,2433.485,212.687,10782,1833293,160230
Empyreal Arrow,49.0,36594.714,16.911,2380.188,93.567,12740,1793141,70490
Radiant Encore,7.0,220410.286,9.69,2047.985,212.468,7300,1542872,160065
Apex Arrow,12.0,114945.917,10.85,1830.93,343.409,8174,1379351,258711
Blast Arrow,11.6446,118350.738,10.82,1829.331,150.678,8151,1378147,113515
Resonant Arrow,7.0,135345.857,5.947,1257.592,129.36,4480,947421,97455
Stormbite (dot),251.0,3725.984,8.329,1241.4,21.721,6275,935222,16364
Sidewinder,13.0,68550.0,6.902,1182.899,91.475,5200,891150,68914
Caustic Bite (dot),250.0,2982.68,6.637,989.791,17.36,5000,745670,13078
Iron Jaws,18.0,14726.167,2.389,351.851,22.958,1800,265071,17296
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
