sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4903,13853.903,434.387,32549.348,569.313,327250,24521409,428898
Burst Shot,184.64520000000002,28610.134,53.92,7012.208,167.691,40621,5282724,126332
Refulgent Arrow,91.70689999999999,39983.404,34.083,4867.194,229.425,25677,3666754,172840
Shot,248.0,9236.504,26.335,3040.578,52.444,19840,2290653,39509
Heartbreak Shot,89.9688,25201.248,21.496,3009.614,117.184,16194,2267326,88282
Empyreal Arrow,49.0,35622.959,16.911,2316.983,90.04,12740,1745525,67833
Pitch Perfect,32.521499999999996,52863.613,14.315,2282.045,197.719,10784,1719204,148954
Radiant Encore,7.0,198032.286,9.69,1840.055,190.897,7300,1386226,143814
Apex Arrow,11.999999999999998,107503.417,10.851,1712.381,319.333,8175,1290041,240573
Blast Arrow,11.647900000000003,110629.212,10.822,1710.466,139.314,8153,1288598,104954
Stormbite (dot),251.0,3581.602,8.329,1193.295,20.613,6275,898982,15529
Resonant Arrow,7.0,121604.429,5.947,1129.911,116.227,4480,851231,87561
Sidewinder,13.0,63925.231,6.902,1103.094,84.308,5200,831028,63514
Caustic Bite (dot),250.0,2866.7,6.637,951.304,16.472,5000,716675,12409
Iron Jaws,18.0,14189.722,2.389,339.034,21.841,1800,255415,16454
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
