sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,435,51853.815,295.381,41944.58,619.571,222750,31630827,467225
Resolution,23,139337.565,25.925,4249.73,243.227,19550,3204764,183420
Veraero III,51,59834.608,29.757,4046.578,151.364,22440,3051565,114145
Verthunder III,49,59521.041,28.59,3867.514,147.445,21560,2916531,111190
Scorch,23,125243.957,22.875,3819.882,218.118,17250,2880611,164485
Enchanted Redoublement,23,90260.609,17.08,2752.906,157.508,12880,2075994,118778
Fleche,30,69101.9,19.095,2749.011,135.47,14400,2073057,102159
Verfire,35,51891.629,17.637,2408.411,109.048,13300,1816207,82234
Verstone,34,51356.559,17.133,2315.475,105.935,12920,1746123,79887
Prefulgence,7,236204.429,11.139,2192.559,225.476,8400,1653431,170034
Enchanted Zwerchhau,23,60676.565,11.59,1850.607,105.953,8740,1395561,79900
Verflare,12,110899.667,10.343,1764.724,139.781,7800,1330796,105410
Contre Sixte,22,59914.864,12.253,1747.924,100.509,9240,1318127,75795
Vice of Thorns,7,186993.714,8.818,1735.763,178.5,6650,1308956,134609
Grand Impact,15,83118.667,11.935,1653.313,114.63,9000,1246780,86444
Enchanted Riposte,23,52784.696,10.37,1609.908,91.903,7820,1214048,69305
Verholy,11,106787.455,9.481,1557.68,128.957,7150,1174662,97248
Engagement,22,28331.455,5.251,826.527,48.078,3960,623292,36256
Corps-a-corps,22,20681.864,3.793,603.362,35.112,2860,455001,26478
Jolt III,3,48440.333,1.432,192.705,29.627,1080,145321,22342
