sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4463999999998,14134.69,433.458,33171.523,586.363,326550,24990132,441743
Burst Shot,184.55509999999998,28786.303,53.894,7051.943,169.429,40602,5312659,127641
Refulgent Arrow,91.7993,40581.41,34.118,4944.967,231.73,25703,3725345,174576
Shot,248.0,9353.827,26.335,3079.2,53.36,19840,2319749,40199
Heartbreak Shot,89.93099999999998,25601.628,21.486,3056.144,119.749,16187,2302380,90214
Pitch Perfect,32.5154,54393.826,14.319,2347.662,204.055,10787,1768637,153727
Empyreal Arrow,49.0,36024.857,16.911,2343.124,91.47,12740,1765218,68910
Radiant Encore,7.0,207933.857,9.69,1932.058,200.442,7300,1455537,151005
Apex Arrow,12.0,110787.833,10.849,1764.697,330.751,8173,1329454,249175
Blast Arrow,11.6456,114047.108,10.82,1762.962,144.303,8151,1328147,108712
Stormbite (dot),251.0,3638.494,8.329,1212.25,21.048,6275,913262,15857
Resonant Arrow,7.0,127684.571,5.947,1186.406,122.038,4480,893792,91939
Sidewinder,13.0,65971.615,6.902,1138.406,87.457,5200,857631,65887
Caustic Bite (dot),250.0,2912.3,6.637,966.436,16.821,5000,728075,12672
Iron Jaws,18.0,14401.056,2.389,344.083,22.279,1800,259219,16784
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
