sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Contre Sixte,Corps-a-corps,Enchanted Redoublement,Enchanted Riposte,Enchanted Zwerchhau,Engagement,Fleche,Grand Impact,Jolt III,Prefulgence,Resolution,Scorch,Veraero III,Verfire,Verflare,Verholy,Verstone,Verthunder III,Vice of Thorns
-510,750,Veraero III,58789.0,0,0,0,0,0,0,0,0,0,0,0,0,0,58789,0,0,0,0,0,0
90,850,Verthunder III,58789.0,0,0,0,0,0,0,0,0,0,0,0,0,0,58789,0,0,0,0,58789,0
750,1282,Auto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,58789,0,0,0,0,58789,0
2580,3340,Veraero III,58789.0,0,0,0,0,0,0,0,0,0,0,0,0,0,117578,0,0,0,0,58789,0
4190,4722,Auto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,117578,0,0,0,0,58789,0
3980,5140,Fleche,69385.0,0,0,0,0,0,0,0,69385,0,0,0,0,0,117578,0,0,0,0,58789,0
5070,5830,Veraero III,63612.0,0,0,0,0,0,0,0,69385,0,0,0,0,0,181190,0,0,0,0,58789,0
7630,8162,Auto,0.0,0,0,0,0,0,0,0,69385,0,0,0,0,0,181190,0,0,0,0,58789,0
7560,8190,Enchanted Riposte,54067.0,0,0,0,0,54067,0,0,69385,0,0,0,0,0,181190,0,0,0,0,58789,0
8260,9420,Contre Sixte,60692.0,0,60692,0,0,54067,0,0,69385,0,0,0,0,0,181190,0,0,0,0,58789,0
9060,9690,Enchanted Zwerchhau,60414.0,0,60692,0,0,54067,60414,0,69385,0,0,0,0,0,181190,0,0,0,0,58789,0
9760,10390,Corps-a-corps,18770.0,0,60692,18770,0,54067,60414,0,69385,0,0,0,0,0,181190,0,0,0,0,58789,0
10560,11190,Enchanted Redoublement,89017.0,0,60692,18770,89017,54067,60414,0,69385,0,0,0,0,0,181190,0,0,0,0,58789,0
11070,11602,Auto,0.0,0,60692,18770,89017,54067,60414,0,69385,0,0,0,0,0,181190,0,0,0,0,58789,0
11260,11840,Engagement,25999.0,0,60692,18770,89017,54067,60414,25999,69385,0,0,0,0,0,181190,0,0,0,0,58789,0
11960,12590,Corps-a-corps,18770.0,0,60692,37540,89017,54067,60414,25999,69385,0,0,0,0,0,181190,0,0,0,0,58789,0
12760,14190,Verflare,103395.0,0,60692,37540,89017,54067,60414,25999,69385,0,0,0,0,0,181190,0,103395,0,0,58789,0
13460,14880,Prefulgence,190887.0,0,60692,37540,89017,54067,60414,25999,69385,0,0,190887,0,0,181190,0,103395,0,0,58789,0
14510,15042,Auto,0.0,0,60692,37540,89017,54067,60414,25999,69385,0,0,190887,0,0,181190,0,103395,0,0,58789,0
15950,16750,Vice of Thorns,151118.0,0,60692,37540,89017,54067,60414,25999,69385,0,0,190887,0,0,181190,0,103395,0,0,58789,151118
15250,17080,Scorch,119303.0,0,60692,37540,89017,54067,60414,25999,69385,0,0,190887,0,119303,181190,0,103395,0,0,58789,151118
17950,18482,Auto,0.0,0,60692,37540,89017,54067,60414,25999,69385,0,0,190887,0,119303,181190,0,103395,0,0,58789,151118
18440,19020,Engagement,25999.0,0,60692,37540,89017,54067,60414,51998,69385,0,0,190887,0,119303,181190,0,103395,0,0,58789,151118
17740,19300,Resolution,135211.0,0,60692,37540,89017,54067,60414,51998,69385,0,0,190887,135211,119303,181190,0,103395,0,0,58789,151118
24211,25511,Verfire,60414.0,0,60692,37540,89017,54067,60414,51998,69385,0,0,190887,135211,119303,181190,60414,103395,0,0,58789,151118
25221,25753,Auto,0.0,0,60692,37540,89017,54067,60414,51998,69385,0,0,190887,135211,119303,181190,60414,103395,0,0,58789,151118
24721,26280,Grand Impact,95441.0,0,60692,37540,89017,54067,60414,51998,69385,95441,0,190887,135211,119303,181190,60414,103395,0,0,58789,151118
27701,28461,Verthunder III,63612.0,0,60692,37540,89017,54067,60414,51998,69385,95441,0,190887,135211,119303,181190,60414,103395,0,0,122401,151118
28980,30140,Fleche,69385.0,0,60692,37540,89017,54067,60414,51998,138770,95441,0,190887,135211,119303,181190,60414,103395,0,0,122401,151118
30201,30733,Auto,0.0,0,60692,37540,89017,54067,60414,51998,138770,95441,0,190887,135211,119303,181190,60414,103395,0,0,122401,151118
29701,30961,Verthunder III,63612.0,0,60692,37540,89017,54067,60414,51998,138770,95441,0,190887,135211,119303,181190,60414,103395,0,0,186013,151118
30191,30991,Verstone,54922.0,0,60692,37540,89017,54067,60414,51998,138770,95441,0,190887,135211,119303,181190,60414,103395,0,54922,186013,151118
36661,37961,Verfire,50757.0,0,60692,37540,89017,54067,60414,51998,138770,95441,0,190887,135211,119303,181190,111171,103395,0,54922,186013,151118
37670,38202,Auto,0.0,0,60692,37540,89017,54067,60414,51998,138770,95441,0,190887,135211,119303,181190,111171,103395,0,54922,186013,151118
37170,38430,Veraero III,58789.0,0,60692,37540,89017,54067,60414,51998,138770,95441,0,190887,135211,119303,239979,111171,103395,0,54922,186013,151118
40151,41701,Grand Impact,80186.0,0,60692,37540,89017,54067,60414,51998,138770,175627,0,190887,135211,119303,239979,111171,103395,0,54922,186013,151118
42651,43183,Auto,0.0,0,60692,37540,89017,54067,60414,51998,138770,175627,0,190887,135211,119303,239979,111171,103395,0,54922,186013,151118
42641,43401,Veraero III,58789.0,0,60692,37540,89017,54067,60414,51998,138770,175627,0,190887,135211,119303,298768,111171,103395,0,54922,186013,151118
42151,43411,Verthunder III,58789.0,0,60692,37540,89017,54067,60414,51998,138770,175627,0,190887,135211,119303,298768,111171,103395,0,54922,244802,151118
43341,44501,Contre Sixte,56090.0,0,116782,37540,89017,54067,60414,51998,138770,175627,0,190887,135211,119303,298768,111171,103395,0,54922,244802,151118
45131,45931,Verstone,50757.0,0,116782,37540,89017,54067,60414,51998,138770,175627,0,190887,135211,119303,298768,111171,103395,0,105679,244802,151118
46091,46623,Auto,0.0,0,116782,37540,89017,54067,60414,51998,138770,175627,0,190887,135211,119303,298768,111171,103395,0,105679,244802,151118
51601,52901,Verfire,50757.0,0,116782,37540,89017,54067,60414,51998,138770,175627,0,190887,135211,119303,298768,161928,103395,0,105679,244802,151118
52611,53143,Auto,0.0,0,116782,37540,89017,54067,60414,51998,138770,175627,0,190887,135211,119303,298768,161928,103395,0,105679,244802,151118
52111,53371,Veraero III,58789.0,0,116782,37540,89017,54067,60414,51998,138770,175627,0,190887,135211,119303,357557,161928,103395,0,105679,244802,151118
53980,55140,Fleche,64122.0,0,116782,37540,89017,54067,60414,51998,202892,175627,0,190887,135211,119303,357557,161928,103395,0,105679,244802,151118
55091,55721,Enchanted Riposte,45424.0,0,116782,37540,89017,99491,60414,51998,202892,175627,0,190887,135211,119303,357557,161928,103395,0,105679,244802,151118
56591,57221,Enchanted Zwerchhau,50757.0,0,116782,37540,89017,99491,111171,51998,202892,175627,0,190887,135211,119303,357557,161928,103395,0,105679,244802,151118
57591,58123,Auto,0.0,0,116782,37540,89017,99491,111171,51998,202892,175627,0,190887,135211,119303,357557,161928,103395,0,105679,244802,151118
57091,58351,Veraero III,58789.0,0,116782,37540,89017,99491,111171,51998,202892,175627,0,190887,135211,119303,416346,161928,103395,0,105679,244802,151118
58091,58721,Enchanted Redoublement,74789.0,0,116782,37540,163806,99491,111171,51998,202892,175627,0,190887,135211,119303,416346,161928,103395,0,105679,244802,151118
61031,61563,Auto,0.0,0,116782,37540,163806,99491,111171,51998,202892,175627,0,190887,135211,119303,416346,161928,103395,0,105679,244802,151118
60291,61721,Verflare,86868.0,0,116782,37540,163806,99491,111171,51998,202892,175627,0,190887,135211,119303,416346,161928,190263,0,105679,244802,151118
62781,64611,Scorch,100233.0,0,116782,37540,163806,99491,111171,51998,202892,175627,0,190887,135211,219536,416346,161928,190263,0,105679,244802,151118
64471,65003,Auto,0.0,0,116782,37540,163806,99491,111171,51998,202892,175627,0,190887,135211,219536,416346,161928,190263,0,105679,244802,151118
65971,66601,Corps-a-corps,17345.0,0,116782,54885,163806,99491,111171,51998,202892,175627,0,190887,135211,219536,416346,161928,190263,0,105679,244802,151118
65271,66831,Resolution,113597.0,0,116782,54885,163806,99491,111171,51998,202892,175627,0,190887,248808,219536,416346,161928,190263,0,105679,244802,151118
66771,67351,Engagement,24028.0,0,116782,54885,163806,99491,111171,76026,202892,175627,0,190887,248808,219536,416346,161928,190263,0,105679,244802,151118
67911,68443,Auto,0.0,0,116782,54885,163806,99491,111171,76026,202892,175627,0,190887,248808,219536,416346,161928,190263,0,105679,244802,151118
67761,68561,Verfire,50757.0,0,116782,54885,163806,99491,111171,76026,202892,175627,0,190887,248808,219536,416346,212685,190263,0,105679,244802,151118
74232,75532,Verstone,50757.0,0,116782,54885,163806,99491,111171,76026,202892,175627,0,190887,248808,219536,416346,212685,190263,0,156436,244802,151118
75242,75774,Auto,0.0,0,116782,54885,163806,99491,111171,76026,202892,175627,0,190887,248808,219536,416346,212685,190263,0,156436,244802,151118
74742,76002,Veraero III,58789.0,0,116782,54885,163806,99491,111171,76026,202892,175627,0,190887,248808,219536,475135,212685,190263,0,156436,244802,151118
77722,78482,Verthunder III,58789.0,0,116782,54885,163806,99491,111171,76026,202892,175627,0,190887,248808,219536,475135,212685,190263,0,156436,303591,151118
78422,79582,Contre Sixte,56090.0,0,172872,54885,163806,99491,111171,76026,202892,175627,0,190887,248808,219536,475135,212685,190263,0,156436,303591,151118
79122,80282,Fleche,64122.0,0,172872,54885,163806,99491,111171,76026,267014,175627,0,190887,248808,219536,475135,212685,190263,0,156436,303591,151118
80222,80754,Auto,0.0,0,172872,54885,163806,99491,111171,76026,267014,175627,0,190887,248808,219536,475135,212685,190263,0,156436,303591,151118
79722,80982,Veraero III,58789.0,0,172872,54885,163806,99491,111171,76026,267014,175627,0,190887,248808,219536,533924,212685,190263,0,156436,303591,151118
80212,81012,Verstone,50757.0,0,172872,54885,163806,99491,111171,76026,267014,175627,0,190887,248808,219536,533924,212685,190263,0,207193,303591,151118
86682,87982,Verfire,50757.0,0,172872,54885,163806,99491,111171,76026,267014,175627,0,190887,248808,219536,533924,263442,190263,0,207193,303591,151118
87692,88224,Auto,0.0,0,172872,54885,163806,99491,111171,76026,267014,175627,0,190887,248808,219536,533924,263442,190263,0,207193,303591,151118
87192,88452,Veraero III,58789.0,0,172872,54885,163806,99491,111171,76026,267014,175627,0,190887,248808,219536,592713,263442,190263,0,207193,303591,151118
90172,90972,Verfire,50757.0,0,172872,54885,163806,99491,111171,76026,267014,175627,0,190887,248808,219536,592713,314199,190263,0,207193,303591,151118
92672,93204,Auto,0.0,0,172872,54885,163806,99491,111171,76026,267014,175627,0,190887,248808,219536,592713,314199,190263,0,207193,303591,151118
92172,93432,Verthunder III,58789.0,0,172872,54885,163806,99491,111171,76026,267014,175627,0,190887,248808,219536,592713,314199,190263,0,207193,362380,151118
96642,97942,Verstone,50757.0,0,172872,54885,163806,99491,111171,76026,267014,175627,0,190887,248808,219536,592713,314199,190263,0,257950,362380,151118
97652,98184,Auto,0.0,0,172872,54885,163806,99491,111171,76026,267014,175627,0,190887,248808,219536,592713,314199,190263,0,257950,362380,151118
97152,98412,Veraero III,58789.0,0,172872,54885,163806,99491,111171,76026,267014,175627,0,190887,248808,219536,651502,314199,190263,0,257950,362380,151118
100132,100932,Verfire,50757.0,0,172872,54885,163806,99491,111171,76026,267014,175627,0,190887,248808,219536,651502,364956,190263,0,257950,362380,151118
102632,103164,Auto,0.0,0,172872,54885,163806,99491,111171,76026,267014,175627,0,190887,248808,219536,651502,364956,190263,0,257950,362380,151118
102132,103392,Verthunder III,58789.0,0,172872,54885,163806,99491,111171,76026,267014,175627,0,190887,248808,219536,651502,364956,190263,0,257950,421169,151118
104122,105282,Fleche,64122.0,0,172872,54885,163806,99491,111171,76026,331136,175627,0,190887,248808,219536,651502,364956,190263,0,257950,421169,151118
107602,108362,Veraero III,58789.0,0,172872,54885,163806,99491,111171,76026,331136,175627,0,190887,248808,219536,710291,364956,190263,0,257950,421169,151118
107112,108372,Veraero III,58789.0,0,172872,54885,163806,99491,111171,76026,331136,175627,0,190887,248808,219536,769080,364956,190263,0,257950,421169,151118
110102,110634,Auto,0.0,0,172872,54885,163806,99491,111171,76026,331136,175627,0,190887,248808,219536,769080,364956,190263,0,257950,421169,151118
110092,110722,Enchanted Riposte,45424.0,0,172872,54885,163806,144915,111171,76026,331136,175627,0,190887,248808,219536,769080,364956,190263,0,257950,421169,151118
109602,111161,Grand Impact,80186.0,0,172872,54885,163806,144915,111171,76026,331136,255813,0,190887,248808,219536,769080,364956,190263,0,257950,421169,151118
111592,112222,Enchanted Zwerchhau,50757.0,0,172872,54885,163806,144915,161928,76026,331136,255813,0,190887,248808,219536,769080,364956,190263,0,257950,421169,151118
113092,113722,Enchanted Redoublement,74789.0,0,172872,54885,238595,144915,161928,76026,331136,255813,0,190887,248808,219536,769080,364956,190263,0,257950,421169,151118
113542,114074,Auto,0.0,0,172872,54885,238595,144915,161928,76026,331136,255813,0,190887,248808,219536,769080,364956,190263,0,257950,421169,151118
113792,114952,Contre Sixte,56090.0,0,228962,54885,238595,144915,161928,76026,331136,255813,0,190887,248808,219536,769080,364956,190263,0,257950,421169,151118
115292,116722,Verholy,86868.0,0,228962,54885,238595,144915,161928,76026,331136,255813,0,190887,248808,219536,769080,364956,190263,86868,257950,421169,151118
116982,117514,Auto,0.0,0,228962,54885,238595,144915,161928,76026,331136,255813,0,190887,248808,219536,769080,364956,190263,86868,257950,421169,151118
117782,119612,Scorch,100233.0,0,228962,54885,238595,144915,161928,76026,331136,255813,0,190887,248808,319769,769080,364956,190263,86868,257950,421169,151118
120422,120954,Auto,0.0,0,228962,54885,238595,144915,161928,76026,331136,255813,0,190887,248808,319769,769080,364956,190263,86868,257950,421169,151118
120273,121833,Resolution,113597.0,0,228962,54885,238595,144915,161928,76026,331136,255813,0,190887,362405,319769,769080,364956,190263,86868,257950,421169,151118
122763,123393,Enchanted Riposte,45424.0,0,228962,54885,238595,190339,161928,76026,331136,255813,0,190887,362405,319769,769080,364956,190263,86868,257950,421169,151118
123862,124394,Auto,0.0,0,228962,54885,238595,190339,161928,76026,331136,255813,0,190887,362405,319769,769080,364956,190263,86868,257950,421169,151118
124263,124893,Enchanted Zwerchhau,50757.0,0,228962,54885,238595,190339,212685,76026,331136,255813,0,190887,362405,319769,769080,364956,190263,86868,257950,421169,151118
125763,126393,Enchanted Redoublement,74789.0,0,228962,54885,313384,190339,212685,76026,331136,255813,0,190887,362405,319769,769080,364956,190263,86868,257950,421169,151118
127163,127793,Corps-a-corps,17345.0,0,228962,72230,313384,190339,212685,76026,331136,255813,0,190887,362405,319769,769080,364956,190263,86868,257950,421169,151118
127302,127834,Auto,0.0,0,228962,72230,313384,190339,212685,76026,331136,255813,0,190887,362405,319769,769080,364956,190263,86868,257950,421169,151118
