sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Contre Sixte,Corps-a-corps,Enchanted Redoublement,Enchanted Riposte,Enchanted Zwerchhau,Engagement,Fleche,Grand Impact,Jolt III,Prefulgence,Resolution,Scorch,Veraero III,Verfire,Verflare,Verholy,Verstone,Verthunder III,Vice of Thorns
-510,750,Veraero III,440,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0
90,850,Verthunder III,440,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,440,0
750,1282,Auto,90,1.0,90,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,440,0
2580,3340,Veraero III,440,1.0,90,0,0,0,0,0,0,0,0,0,0,0,0,880,0,0,0,0,440,0
4190,4722,Auto,90,1.0,180,0,0,0,0,0,0,0,0,0,0,0,0,880,0,0,0,0,440,0
3980,5140,Fleche,480,1.0,180,0,0,0,0,0,0,480,0,0,0,0,0,880,0,0,0,0,440,0
5070,5830,Veraero III,440,1.0,180,0,0,0,0,0,0,480,0,0,0,0,0,1320,0,0,0,0,440,0
7630,8162,Auto,90,1.0,270,0,0,0,0,0,0,480,0,0,0,0,0,1320,0,0,0,0,440,0
7560,8190,Enchanted Riposte,340,1.0,270,0,0,0,340,0,0,480,0,0,0,0,0,1320,0,0,0,0,440,0
8260,9420,Contre Sixte,420,1.0,270,420,0,0,340,0,0,480,0,0,0,0,0,1320,0,0,0,0,440,0
9060,9690,Enchanted Zwerchhau,380,1.0,270,420,0,0,340,380,0,480,0,0,0,0,0,1320,0,0,0,0,440,0
9760,10390,Corps-a-corps,130,1.0,270,420,130,0,340,380,0,480,0,0,0,0,0,1320,0,0,0,0,440,0
10560,11190,Enchanted Redoublement,560,1.0,270,420,130,560,340,380,0,480,0,0,0,0,0,1320,0,0,0,0,440,0
11070,11602,Auto,90,1.0,360,420,130,560,340,380,0,480,0,0,0,0,0,1320,0,0,0,0,440,0
11260,11840,Engagement,180,1.0,360,420,130,560,340,380,180,480,0,0,0,0,0,1320,0,0,0,0,440,0
11960,12590,Corps-a-corps,130,1.0,360,420,260,560,340,380,180,480,0,0,0,0,0,1320,0,0,0,0,440,0
12760,14190,Verflare,650,1.0,360,420,260,560,340,380,180,480,0,0,0,0,0,1320,0,650,0,0,440,0
13460,14880,Prefulgence,1200,1.0,360,420,260,560,340,380,180,480,0,0,1200,0,0,1320,0,650,0,0,440,0
14510,15042,Auto,90,1.0,450,420,260,560,340,380,180,480,0,0,1200,0,0,1320,0,650,0,0,440,0
15950,16750,Vice of Thorns,950,1.0,450,420,260,560,340,380,180,480,0,0,1200,0,0,1320,0,650,0,0,440,950
15250,17080,Scorch,750,1.0,450,420,260,560,340,380,180,480,0,0,1200,0,750,1320,0,650,0,0,440,950
17950,18482,Auto,90,1.0,540,420,260,560,340,380,180,480,0,0,1200,0,750,1320,0,650,0,0,440,950
18440,19020,Engagement,180,1.0,540,420,260,560,340,380,360,480,0,0,1200,0,750,1320,0,650,0,0,440,950
17740,19300,Resolution,850,1.0,540,420,260,560,340,380,360,480,0,0,1200,850,750,1320,0,650,0,0,440,950
24211,25511,Verfire,380,1.0,540,420,260,560,340,380,360,480,0,0,1200,850,750,1320,380,650,0,0,440,950
25221,25753,Auto,90,1.0,630,420,260,560,340,380,360,480,0,0,1200,850,750,1320,380,650,0,0,440,950
24721,26280,Grand Impact,600,1.0,630,420,260,560,340,380,360,480,600,0,1200,850,750,1320,380,650,0,0,440,950
27701,28461,Verthunder III,440,1.0,630,420,260,560,340,380,360,480,600,0,1200,850,750,1320,380,650,0,0,880,950
28980,30140,Fleche,480,1.0,630,420,260,560,340,380,360,960,600,0,1200,850,750,1320,380,650,0,0,880,950
30201,30733,Auto,90,1.0,720,420,260,560,340,380,360,960,600,0,1200,850,750,1320,380,650,0,0,880,950
29701,30961,Verthunder III,440,1.0,720,420,260,560,340,380,360,960,600,0,1200,850,750,1320,380,650,0,0,1320,950
30191,30991,Verstone,380,1.0,720,420,260,560,340,380,360,960,600,0,1200,850,750,1320,380,650,0,380,1320,950
36661,37961,Verfire,380,1.0,720,420,260,560,340,380,360,960,600,0,1200,850,750,1320,760,650,0,380,1320,950
37670,38202,Auto,90,1.0,810,420,260,560,340,380,360,960,600,0,1200,850,750,1320,760,650,0,380,1320,950
37170,38430,Veraero III,440,1.0,810,420,260,560,340,380,360,960,600,0,1200,850,750,1760,760,650,0,380,1320,950
40151,41701,Grand Impact,600,1.0,810,420,260,560,340,380,360,960,1200,0,1200,850,750,1760,760,650,0,380,1320,950
42651,43183,Auto,90,1.0,900,420,260,560,340,380,360,960,1200,0,1200,850,750,1760,760,650,0,380,1320,950
42641,43401,Veraero III,440,1.0,900,420,260,560,340,380,360,960,1200,0,1200,850,750,2200,760,650,0,380,1320,950
42151,43411,Verthunder III,440,1.0,900,420,260,560,340,380,360,960,1200,0,1200,850,750,2200,760,650,0,380,1760,950
43341,44501,Contre Sixte,420,1.0,900,840,260,560,340,380,360,960,1200,0,1200,850,750,2200,760,650,0,380,1760,950
45131,45931,Verstone,380,1.0,900,840,260,560,340,380,360,960,1200,0,1200,850,750,2200,760,650,0,760,1760,950
46091,46623,Auto,90,1.0,990,840,260,560,340,380,360,960,1200,0,1200,850,750,2200,760,650,0,760,1760,950
51601,52901,Verfire,380,1.0,990,840,260,560,340,380,360,960,1200,0,1200,850,750,2200,1140,650,0,760,1760,950
52611,53143,Auto,90,1.0,1080,840,260,560,340,380,360,960,1200,0,1200,850,750,2200,1140,650,0,760,1760,950
52111,53371,Veraero III,440,1.0,1080,840,260,560,340,380,360,960,1200,0,1200,850,750,2640,1140,650,0,760,1760,950
53980,55140,Fleche,480,1.0,1080,840,260,560,340,380,360,1440,1200,0,1200,850,750,2640,1140,650,0,760,1760,950
55091,55721,Enchanted Riposte,340,1.0,1080,840,260,560,680,380,360,1440,1200,0,1200,850,750,2640,1140,650,0,760,1760,950
56591,57221,Enchanted Zwerchhau,380,1.0,1080,840,260,560,680,760,360,1440,1200,0,1200,850,750,2640,1140,650,0,760,1760,950
57591,58123,Auto,90,1.0,1170,840,260,560,680,760,360,1440,1200,0,1200,850,750,2640,1140,650,0,760,1760,950
57091,58351,Veraero III,440,1.0,1170,840,260,560,680,760,360,1440,1200,0,1200,850,750,3080,1140,650,0,760,1760,950
58091,58721,Enchanted Redoublement,560,1.0,1170,840,260,1120,680,760,360,1440,1200,0,1200,850,750,3080,1140,650,0,760,1760,950
61031,61563,Auto,90,1.0,1260,840,260,1120,680,760,360,1440,1200,0,1200,850,750,3080,1140,650,0,760,1760,950
60291,61721,Verflare,650,1.0,1260,840,260,1120,680,760,360,1440,1200,0,1200,850,750,3080,1140,1300,0,760,1760,950
