sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,435,47161.82,295.381,38149.222,535.463,222750,28768710,403798
Veraero III,51,59102.863,29.757,3997.091,148.905,22440,3014246,112291
Verthunder III,49,58985.857,28.59,3832.739,145.629,21560,2890307,109820
Resolution,23,121218.652,25.925,3697.112,205.473,19550,2788029,154949
Scorch,23,107750.565,22.875,3286.342,182.606,17250,2478263,137705
Fleche,30,65174.6,19.095,2592.776,125.954,14400,1955238,94983
Enchanted Redoublement,23,79155.87,17.08,2414.217,134.191,12880,1820585,101195
Verfire,35,51032.914,17.637,2368.556,106.523,13300,1786152,80330
Verstone,34,50879.5,17.133,2293.966,104.632,12920,1729903,78904
Prefulgence,7,182615.571,11.139,1695.123,170.516,8400,1278309,128588
Contre Sixte,22,56508.364,12.253,1648.545,93.494,9240,1243184,70505
Enchanted Zwerchhau,23,53720.826,11.59,1638.46,91.072,8740,1235579,68678
Grand Impact,15,81203.0,11.935,1615.209,111.029,9000,1218045,83728
Verflare,12,93835.667,10.343,1493.188,114.843,7800,1126028,86604
Enchanted Riposte,23,47665.609,10.37,1453.779,80.785,7820,1096309,60921
Verholy,11,92889.818,9.481,1354.959,108.886,7150,1021788,82112
Vice of Thorns,7,144569.429,8.818,1341.961,134.99,6650,1011986,101797
Engagement,22,24565.545,5.251,716.662,40.657,3960,540442,30660
Corps-a-corps,22,17733.636,3.793,517.352,29.352,2860,390140,22135
Jolt III,3,48059.0,1.432,191.188,29.355,1080,144177,22137
