sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4647,14212.498,431.785,33297.528,581.185,325290,25085059,437842
Burst Shot,184.6917,28813.027,53.934,7063.714,168.703,40632,5321527,127094
Refulgent Arrow,91.66120000000001,40784.683,34.067,4962.26,231.665,25665,3738373,174527
Shot,248.0,9374.504,26.335,3086.007,53.237,19840,2324877,40107
Heartbreak Shot,89.9609,25658.592,21.493,3063.963,119.319,16192,2308270,89890
Pitch Perfect,32.50379999999999,54787.225,14.312,2363.798,203.674,10782,1780793,153440
Empyreal Arrow,49.0,36143.408,16.911,2350.834,91.393,12740,1771027,68852
Radiant Encore,7.0,209361.857,9.69,1945.326,198.856,7300,1465533,149810
Apex Arrow,11.999999999999998,111295.25,10.853,1772.78,324.208,8176,1335543,244246
Blast Arrow,11.647100000000002,114538.984,10.821,1770.794,143.469,8152,1334047,108084
Stormbite (dot),251.0,3661.741,8.329,1219.995,21.051,6275,919097,15859
Resonant Arrow,7.0,128561.571,5.947,1194.555,121.072,4480,899931,91211
Sidewinder,13.0,66266.615,6.902,1143.497,86.93,5200,861466,65490
Caustic Bite (dot),250.0,2931.08,6.637,972.668,16.822,5000,732770,12673
Iron Jaws,18.0,14487.667,2.389,346.153,22.281,1800,260778,16786
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
