sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4906,14253.088,428.798,33298.027,577.504,323040,25085435,435069
Burst Shot,184.7495,28815.591,53.95,7066.554,168.429,40644,5323666,126888
Refulgent Arrow,91.59810000000002,40780.715,34.043,4958.361,231.525,25647,3735436,174422
Shot,248.0,9374.504,26.335,3086.007,53.237,19840,2324877,40107
Heartbreak Shot,89.94659999999999,25658.391,21.49,3063.452,119.319,16190,2307885,89890
Pitch Perfect,32.544000000000004,54754.056,14.324,2365.288,203.674,10791,1781916,153440
Empyreal Arrow,49.0,36143.408,16.911,2350.834,91.393,12740,1771027,68852
Radiant Encore,7.0,209361.857,9.69,1945.326,198.856,7300,1465533,149810
Apex Arrow,12.0,111290.833,10.853,1772.709,317.81,8176,1335490,239426
Blast Arrow,11.6524,114528.852,10.826,1771.443,143.469,8156,1334536,108084
Stormbite (dot),251.0,3661.741,8.329,1219.995,21.051,6275,919097,15859
Resonant Arrow,7.0,128561.571,5.947,1194.555,121.072,4480,899931,91211
Sidewinder,13.0,66266.615,6.902,1143.497,86.93,5200,861466,65490
Caustic Bite (dot),250.0,2931.08,6.637,972.668,16.822,5000,732770,12673
Iron Jaws,18.0,14487.667,2.389,346.153,22.281,1800,260778,16786
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
