sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4373,14124.818,435.084,33204.603,588.2,327775,25015053,443127
Burst Shot,184.606,28793.013,53.909,7055.532,169.52,40613,5315363,127710
Refulgent Arrow,91.7491,40686.317,34.099,4955.039,233.337,25689,3732933,175787
Shot,248.0,9357.5,26.335,3080.409,53.393,19840,2320660,40224
Heartbreak Shot,89.9563,25600.675,21.493,3056.89,119.749,16192,2302942,90214
Pitch Perfect,32.481,54565.284,14.307,2352.571,204.805,10778,1772335,154292
Empyreal Arrow,49.0,36077.857,16.911,2346.571,91.667,12740,1767815,69058
Radiant Encore,7.0,207933.857,9.69,1932.058,200.442,7300,1455537,151005
Apex Arrow,12.0,110804.333,10.851,1764.96,332.294,8175,1329652,250337
Blast Arrow,11.6449,114039.021,10.82,1762.731,144.303,8151,1327973,108712
Stormbite (dot),251.0,3651.641,8.329,1216.631,21.14,6275,916562,15926
Resonant Arrow,7.0,127684.571,5.947,1186.406,122.038,4480,893792,91939
Sidewinder,13.0,65971.615,6.902,1138.406,87.457,5200,857631,65887
Caustic Bite (dot),250.0,2922.92,6.637,969.96,16.892,5000,730730,12726
Iron Jaws,18.0,14450.056,2.389,345.254,22.372,1800,260101,16854
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
