sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Dosis III,Eukrasian Dosis III (dot),Phlegma III,Pneuma,Psyche,Toxikon II
-540,40,Pneuma,49391.0,0,0,0,0,49391,0,0
40,572,Auto,21.0,21,0,0,0,49391,0,0
3401,4071,Dosis III,54025.0,21,54025,0,0,49391,0,0
3901,4433,Auto,22.0,43,54025,0,0,49391,0,0
940,4500,Eukrasian Dosis III (dot),12300.0,43,54025,12300,0,49391,0,0
5841,6511,Dosis III,62464.0,43,116489,12300,0,49391,0,0
6701,7233,Auto,28.0,71,116489,12300,0,49391,0,0
940,7500,Eukrasian Dosis III (dot),12300.0,71,116489,24600,0,49391,0,0
7322,7992,Phlegma III,111197.0,71,116489,24600,111197,49391,0,0
7942,9042,Psyche,111197.0,71,116489,24600,111197,49391,111197,0
9501,10033,Auto,28.0,99,116489,24600,111197,49391,111197,0
9762,10432,Phlegma III,111197.0,99,116489,24600,222394,49391,111197,0
940,10500,Eukrasian Dosis III (dot),12300.0,99,116489,36900,222394,49391,111197,0
940,13500,Eukrasian Dosis III (dot),12300.0,99,116489,49200,222394,49391,111197,0
13163,13833,Dosis III,70387.0,99,186876,49200,222394,49391,111197,0
13663,14195,Auto,28.0,127,186876,49200,222394,49391,111197,0
15603,16273,Dosis III,70387.0,127,257263,49200,222394,49391,111197,0
940,16500,Eukrasian Dosis III (dot),12300.0,127,257263,61500,222394,49391,111197,0
16463,16995,Auto,28.0,155,257263,61500,222394,49391,111197,0
18044,18714,Dosis III,70387.0,155,327650,61500,222394,49391,111197,0
940,19500,Eukrasian Dosis III (dot),12300.0,155,327650,73800,222394,49391,111197,0
19263,19795,Auto,28.0,183,327650,73800,222394,49391,111197,0
20484,21154,Dosis III,70387.0,183,398037,73800,222394,49391,111197,0
940,22500,Eukrasian Dosis III (dot),12300.0,183,398037,86100,222394,49391,111197,0
22924,23594,Dosis III,70387.0,183,468424,86100,222394,49391,111197,0
23424,23956,Auto,28.0,211,468424,86100,222394,49391,111197,0
940,25500,Eukrasian Dosis III (dot),12300.0,211,468424,98400,222394,49391,111197,0
26224,26756,Auto,21.0,232,468424,98400,222394,49391,111197,0
25406,28500,Eukrasian Dosis III (dot),15262.0,232,468424,113662,222394,49391,111197,0
27866,28536,Dosis III,54025.0,232,522449,113662,222394,49391,111197,0
29024,29556,Auto,21.0,253,522449,113662,222394,49391,111197,0
30307,30977,Dosis III,54025.0,253,576474,113662,222394,49391,111197,0
25406,31500,Eukrasian Dosis III (dot),15262.0,253,576474,128924,222394,49391,111197,0
32747,33417,Dosis III,49912.0,253,626386,128924,222394,49391,111197,0
33247,33779,Auto,21.0,274,626386,128924,222394,49391,111197,0
25406,34500,Eukrasian Dosis III (dot),15262.0,274,626386,144186,222394,49391,111197,0
35188,35858,Dosis III,49912.0,274,676298,144186,222394,49391,111197,0
36047,36579,Auto,21.0,295,676298,144186,222394,49391,111197,0
25406,37500,Eukrasian Dosis III (dot),15262.0,295,676298,159448,222394,49391,111197,0
37628,38298,Dosis III,49912.0,295,726210,159448,222394,49391,111197,0
38847,39379,Auto,21.0,316,726210,159448,222394,49391,111197,0
25406,40500,Eukrasian Dosis III (dot),15262.0,316,726210,174710,222394,49391,111197,0
40069,40739,Dosis III,49912.0,316,776122,174710,222394,49391,111197,0
42509,43179,Dosis III,49912.0,316,826034,174710,222394,49391,111197,0
25406,43500,Eukrasian Dosis III (dot),15262.0,316,826034,189972,222394,49391,111197,0
43009,43541,Auto,21.0,337,826034,189972,222394,49391,111197,0
44949,45619,Dosis III,49884.0,337,875918,189972,222394,49391,111197,0
45809,46341,Auto,21.0,358,875918,189972,222394,49391,111197,0
25406,46500,Eukrasian Dosis III (dot),15262.0,358,875918,205234,222394,49391,111197,0
47390,48060,Dosis III,49884.0,358,925802,205234,222394,49391,111197,0
48609,49141,Auto,21.0,379,925802,205234,222394,49391,111197,0
25406,49500,Eukrasian Dosis III (dot),15262.0,379,925802,220496,222394,49391,111197,0
49830,50500,Dosis III,49884.0,379,975686,220496,222394,49391,111197,0
25406,52500,Eukrasian Dosis III (dot),15262.0,379,975686,235758,222394,49391,111197,0
52271,52941,Dosis III,49884.0,379,1025570,235758,222394,49391,111197,0
52771,53303,Auto,21.0,400,1025570,235758,222394,49391,111197,0
