sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Dosis III,Eukrasian Dosis III (dot),Phlegma III,Pneuma,Psyche,Toxikon II
-540,40,Pneuma,49391.0,0,0,0,0,49391,0,0
40,572,Auto,21.0,21,0,0,0,49391,0,0
3401,4071,Dosis III,53462.0,21,53462,0,0,49391,0,0
3901,4433,Auto,21.0,42,53462,0,0,49391,0,0
940,4500,Eukrasian Dosis III (dot),12172.0,42,53462,12172,0,49391,0,0
5841,6511,Dosis III,53462.0,42,106924,12172,0,49391,0,0
6701,7233,Auto,22.0,64,106924,12172,0,49391,0,0
940,7500,Eukrasian Dosis III (dot),12172.0,64,106924,24344,0,49391,0,0
7322,7992,Phlegma III,89525.0,64,106924,24344,89525,49391,0,0
7942,9042,Psyche,89525.0,64,106924,24344,89525,49391,89525,0
9501,10033,Auto,22.0,86,106924,24344,89525,49391,89525,0
9762,10432,Phlegma III,89525.0,86,106924,24344,179050,49391,89525,0
940,10500,Eukrasian Dosis III (dot),12172.0,86,106924,36516,179050,49391,89525,0
940,13500,Eukrasian Dosis III (dot),12172.0,86,106924,48688,179050,49391,89525,0
13163,13833,Dosis III,56669.0,86,163593,48688,179050,49391,89525,0
13663,14195,Auto,22.0,108,163593,48688,179050,49391,89525,0
15603,16273,Dosis III,56669.0,108,220262,48688,179050,49391,89525,0
940,16500,Eukrasian Dosis III (dot),12172.0,108,220262,60860,179050,49391,89525,0
16463,16995,Auto,22.0,130,220262,60860,179050,49391,89525,0
18044,18714,Dosis III,56669.0,130,276931,60860,179050,49391,89525,0
940,19500,Eukrasian Dosis III (dot),12172.0,130,276931,73032,179050,49391,89525,0
19263,19795,Auto,22.0,152,276931,73032,179050,49391,89525,0
20484,21154,Dosis III,56669.0,152,333600,73032,179050,49391,89525,0
940,22500,Eukrasian Dosis III (dot),12172.0,152,333600,85204,179050,49391,89525,0
22924,23594,Dosis III,56669.0,152,390269,85204,179050,49391,89525,0
23424,23956,Auto,22.0,174,390269,85204,179050,49391,89525,0
940,25500,Eukrasian Dosis III (dot),12172.0,174,390269,97376,179050,49391,89525,0
26224,26756,Auto,21.0,195,390269,97376,179050,49391,89525,0
25406,28500,Eukrasian Dosis III (dot),12902.0,195,390269,110278,179050,49391,89525,0
27866,28536,Dosis III,53462.0,195,443731,110278,179050,49391,89525,0
29024,29556,Auto,21.0,216,443731,110278,179050,49391,89525,0
30307,30977,Dosis III,53462.0,216,497193,110278,179050,49391,89525,0
25406,31500,Eukrasian Dosis III (dot),12902.0,216,497193,123180,179050,49391,89525,0
32747,33417,Dosis III,49391.0,216,546584,123180,179050,49391,89525,0
33247,33779,Auto,21.0,237,546584,123180,179050,49391,89525,0
25406,34500,Eukrasian Dosis III (dot),12902.0,237,546584,136082,179050,49391,89525,0
35188,35858,Dosis III,49391.0,237,595975,136082,179050,49391,89525,0
36047,36579,Auto,21.0,258,595975,136082,179050,49391,89525,0
25406,37500,Eukrasian Dosis III (dot),12902.0,258,595975,148984,179050,49391,89525,0
37628,38298,Dosis III,49391.0,258,645366,148984,179050,49391,89525,0
38847,39379,Auto,21.0,279,645366,148984,179050,49391,89525,0
25406,40500,Eukrasian Dosis III (dot),12902.0,279,645366,161886,179050,49391,89525,0
40069,40739,Dosis III,49391.0,279,694757,161886,179050,49391,89525,0
42509,43179,Dosis III,49391.0,279,744148,161886,179050,49391,89525,0
25406,43500,Eukrasian Dosis III (dot),12902.0,279,744148,174788,179050,49391,89525,0
43009,43541,Auto,21.0,300,744148,174788,179050,49391,89525,0
44949,45619,Dosis III,49391.0,300,793539,174788,179050,49391,89525,0
45809,46341,Auto,21.0,321,793539,174788,179050,49391,89525,0
25406,46500,Eukrasian Dosis III (dot),12902.0,321,793539,187690,179050,49391,89525,0
47390,48060,Dosis III,49391.0,321,842930,187690,179050,49391,89525,0
48609,49141,Auto,21.0,342,842930,187690,179050,49391,89525,0
25406,49500,Eukrasian Dosis III (dot),12902.0,342,842930,200592,179050,49391,89525,0
49830,50500,Dosis III,49391.0,342,892321,200592,179050,49391,89525,0
25406,52500,Eukrasian Dosis III (dot),12902.0,342,892321,213494,179050,49391,89525,0
52271,52941,Dosis III,49391.0,342,941712,213494,179050,49391,89525,0
52771,53303,Auto,21.0,363,941712,213494,179050,49391,89525,0
