sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs
-14000,-14000,Meikyo Shisui,,,,,,,[]
-5000,-5000,Reassemble,,,,,,,[]
-2600,-2600,Concitation,,,,,,,[]
-2000,-2000,Grade 4 Gemdraught,,,,,,,[]
-630,37,Onslaught,150.0,12126.0,,Default Target,[],9774958.0,[]
-540,40,Pneuma,380.0,49391.0,,Default Target,[],147266966.0,[]
68,68,Grade 4 Gemdraught,,,,,,,[]
-1200,90,Reaving Fangs,200.0,20340.0,,Default Target,[],29194025.0,[]
93,93,Serpent's Ire,,,,,,,[]
100,100,Swiftcast,,,,,,,[]
-650,110,Gekko,420.0,42462.0,,Default Target,['Meikyo Shisui'],126106180.0,['Meikyo Shisui']
110,110,Ikishoten,,,,,,,[]
-1000,150,Air Anchor,660.0,152217.0,,Default Target,['Reassemble'],19309106.0,"['Grade 4 Gemdraught', 'Reassemble']"
-500,258,Holy Spirit,400.0,31913.0,,Default Target,[],67703560.0,[]
-380,330,Checkmate,180.0,24091.0,,Default Target,[],40811374.0,['Grade 4 Gemdraught']
470,470,Dissipation,,,,,,,[]
37,569,Auto,90.0,8128.0,,Default Target,[],4391455.0,[]
40,572,Auto,90.0,21.0,,Default Target,[],25.0,[]
-1200,590,Fire III,290.0,33775.0,,Default Target,['3 Astral Fire'],35211484.0,[]
90,622,Auto,90.0,8038.0,,Default Target,[],4558348.0,[]
110,642,Auto,90.0,9146.0,,Default Target,[],5850300.0,['Fugetsu']
170,702,Heavy Swing,240.0,19401.0,,Default Target,[],25021639.0,[]
730,730,Grade 4 Gemdraught,,,,,,,[]
258,790,Auto,90.0,5328.0,,Default Target,[],1887023.0,[]
795,795,Infuriate,,,,,,,[]
800,800,Grade 4 Gemdraught,,,,,,,[]
150,908,Shot,80.0,7847.0,,Default Target,[],4329995.0,['Grade 4 Gemdraught']
240,950,Double Check,180.0,24091.0,,Default Target,[],40811374.0,['Grade 4 Gemdraught']
1090,1090,Grade 4 Gemdraught,,,,,,,[]
590,1122,Auto,90.0,0.0,,Default Target,[],0.0,['Enochian']
-200,1500,Biolysis (dot),85.0,11258.0,,Default Target,[],7771012.0,[]
1000,1623,Fast Blade,220.0,17548.0,,Default Target,[],20469011.0,[]
1050,1810,High Thunder,150.0,22191.0,,Default Target,[],15203066.0,['Enochian']
1500,2032,Auto,90.0,220.0,,Default Target,[],2952.0,[]
2121,2121,Barrel Stabilizer,,,,,,,[]
2250,2250,Amplifier,,,,,,,[]
1820,2440,Kasha,420.0,51930.0,,Default Target,[],188617385.0,"['Fugetsu', 'Grade 4 Gemdraught']"
1301,2461,Swiftskin's Sting,300.0,30511.0,,Default Target,[],65691910.0,[]
1501,2651,Drill,660.0,88349.0,,Default Target,[],548862248.0,['Grade 4 Gemdraught']
1550,2710,Fire IV,300.0,86475.0,,Default Target,['3 Astral Fire'],230834749.0,"['Enochian', 'Grade 4 Gemdraught', 'Swiftcast']"
2950,2950,Ley Lines,,,,,,,[]
2498,3030,Auto,90.0,5328.0,,Default Target,[],1887023.0,[]
2730,3262,Auto,90.0,8038.0,,Default Target,[],4558348.0,['Swiftscaled']
2750,3282,Auto,90.0,9898.0,,Default Target,[],6851445.0,"['Fugetsu', 'Fuka', 'Grade 4 Gemdraught']"
2670,3293,Maim,340.0,27490.0,,Default Target,[],50236558.0,[]
2790,3548,Shot,80.0,7847.0,,Default Target,[],4329995.0,['Grade 4 Gemdraught']
3743,3743,Swiftcast,,,,,,,[]
