sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs
-3000,-3000,Elusive Jump,,,,,,,[]
-800,-800,Winged Glide,,,,,,,[]
0,0,The Wanderer's Minuet,,,,,,,[]
0,760,True Thrust,230.0,23973.0,,Default Target,[],41273850.0,"[""The Wanderer's Minuet""]"
760,1292,Auto,90.0,8745.0,,Default Target,[],5492336.0,"[""The Wanderer's Minuet""]"
2500,3880,Spiral Blow,300.0,31269.0,,Default Target,[],70217791.0,"[""The Wanderer's Minuet""]"
3560,4092,Auto,90.0,9619.0,,Default Target,[],6645356.0,"['Power Surge', ""The Wanderer's Minuet""]"
4300,4300,Grade 4 Gemdraught,,,,,,,[]
5103,5103,Battle Voice,,,,,,,[]
5133,5133,Brotherhood,,,,,,,[]
5220,5220,Chain Stratagem,,,,,,,[]
5400,5400,Starry Muse,,,,,,,[]
5533,5533,Starry Muse,,,,,,,[]
5620,5620,Battle Litany,,,,,,,[]
5723,5723,Radiant Finale,,,,,,,[]
5000,5850,Piercing Talon,350.0,43424.0,,Default Target,['Enhanced Piercing Talon'],135429136.0,"['Enhanced Piercing Talon', 'Grade 4 Gemdraught', 'Power Surge', ""The Wanderer's Minuet""]"
6240,6240,Lance Charge,,,,,,,[]
6360,6892,Auto,90.0,13549.0,,Default Target,[],13066272.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
6860,7530,Geirskogul,280.0,45205.0,,Default Target,[],145468397.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
7500,7950,Chaotic Spring,340.0,69441.0,,Default Target,[],343258102.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
8119,8609,High Jump,400.0,81694.0,,Default Target,[],475078495.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
9160,9692,Auto,90.0,17140.0,,Default Target,[],20908758.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
8920,9720,Mirage Dive,380.0,77608.0,,Default Target,[],428743092.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
7500,10500,Chaotic Spring (dot),45.0,9184.0,,Default Target,[],6002675.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
10000,10620,Wheeling Thrust,340.0,69441.0,,Default Target,[],343258102.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
11420,11420,Life Surge,,,,,,,[]
10620,11420,Dragonfire Dive,500.0,102119.0,,Default Target,[],742325470.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
11960,12492,Auto,90.0,17140.0,,Default Target,[],20908758.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
12500,13120,Drakesbane,460.0,132601.0,,Default Target,['Wheeling Thrust'],230958693.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life Surge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet"", 'Wheeling Thrust']"
7500,13500,Chaotic Spring (dot),45.0,9184.0,,Default Target,[],6002675.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
13120,14280,Rise of the Dragon,550.0,112335.0,,Default Target,[],898290732.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
13740,14500,Nastrond,720.0,147052.0,,Default Target,[],1539348292.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
14760,15292,Auto,90.0,17140.0,,Default Target,[],20908758.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
15000,15620,Raiden Thrust,320.0,65354.0,,Default Target,[],304036861.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
7500,16500,Chaotic Spring (dot),45.0,9184.0,,Default Target,[],6002675.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
15620,16910,Stardiver,840.0,171565.0,,Default Target,[],2095338697.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
17560,18092,Auto,90.0,17140.0,,Default Target,[],20908758.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
17500,18440,Lance Barrage,340.0,69441.0,,Default Target,[],343258102.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
18740,18740,Life Surge,,,,,,,[]
18120,19100,Starcross,700.0,142973.0,,Default Target,[],1455141110.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
7500,19500,Chaotic Spring (dot),45.0,9184.0,,Default Target,[],6002675.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
20000,20710,Heavens' Thrust,460.0,132601.0,,Default Target,[],230958693.0,"['Battle Litany', 'Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Lance Charge', 'Life Surge', 'Life of the Dragon', 'Power Surge', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
