sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4553,14179.834,431.447,33202.181,577.005,325035,25013228,434693
Burst Shot,184.6889,28822.674,53.933,7065.972,168.302,40631,5323228,126792
Refulgent Arrow,91.6634,40591.097,34.067,4938.825,231.582,25665,3720718,174465
Shot,248.0,9359.948,26.335,3081.215,53.012,19840,2321267,39937
Heartbreak Shot,89.9579,25601.665,21.493,3057.063,118.595,16192,2303072,89345
Pitch Perfect,32.497400000000006,54554.272,14.316,2353.283,201.562,10785,1772872,151849
Empyreal Arrow,49.0,36078.959,16.911,2346.643,90.934,12740,1767869,68506
Radiant Encore,7.0,207959.0,9.69,1932.291,196.18,7300,1455713,147794
Apex Arrow,12.0,110829.75,10.853,1765.365,321.866,8176,1329957,242481
Blast Arrow,11.6477,114048.181,10.822,1763.297,142.066,8153,1328399,107027
Stormbite (dot),251.0,3651.88,8.329,1216.71,20.902,6275,916622,15747
Resonant Arrow,7.0,127699.857,5.947,1186.548,119.443,4480,893899,89984
Sidewinder,13.0,65976.692,6.902,1138.494,86.046,5200,857697,64824
Caustic Bite (dot),250.0,2923.1,6.637,970.02,16.704,5000,730775,12584
Iron Jaws,18.0,14450.722,2.389,345.27,22.133,1800,260113,16674
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
