sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs
-2600,-2600,Concitation,,,,,,,[]
-2600,-2600,Medica,,,,,,,[]
-800,-800,Shadowstride,,,,,,,[]
-900,-10,Harpe,300.0,30859.0,,Default Target,[],67100715.0,[]
-1650,0,Heartbreak Shot,180.0,22196.0,1.0,Default Target,[],34360099.0,[]
0,0,The Wanderer's Minuet,,,,,,,[]
0,0,The Wanderer's Minuet,,,,,,,[]
0,0,The Wanderer's Minuet,,,,,,,[]
0,0,The Wanderer's Minuet,,,,,,,[]
0,0,The Wanderer's Minuet,,,,,,,[]
0,0,Grade 4 Gemdraught,,,,,,,[]
0,0,The Wanderer's Minuet,,,,,,,[]
0,0,The Wanderer's Minuet,,,,,,,[]
0,0,The Wanderer's Minuet,,,,,,,[]
-1030,260,Stormbite,100.0,12331.0,,Default Target,[],10602410.0,[]
450,450,Grade 4 Gemdraught,,,,,,,[]
470,470,Dissipation,,,,,,,[]
-10,522,Auto,90.0,9852.0,,Default Target,[],6838685.0,[]
0,581,Hard Slash,300.0,24258.0,,Default Target,[],39115196.0,[]
625,625,Grade 4 Gemdraught,,,,,,,[]
-600,640,Rainbow Drip,1000.0,133983.0,,Default Target,[],1271670287.0,[]
0,758,Shot,80.0,8316.0,,Default Target,[],4822331.0,[]
0,760,True Thrust,230.0,23973.0,,Default Target,[],41273850.0,"[""The Wanderer's Minuet""]"
0,893,Keen Edge,300.0,23916.0,,Default Target,[],38018986.0,[]
1090,1090,Grade 4 Gemdraught,,,,,,,[]
581,1113,Auto,90.0,7242.0,,Default Target,[],3547973.0,"[""The Wanderer's Minuet""]"
-170,1120,Dia,85.0,10969.0,,Default Target,[],7095404.0,[]
640,1172,Auto,90.0,0.0,,Default Target,[],0.0,"['Grade 4 Gemdraught', ""The Wanderer's Minuet""]"
760,1292,Auto,90.0,8745.0,,Default Target,[],5492336.0,"[""The Wanderer's Minuet""]"
700,1320,Pom Muse,800.0,117220.0,,Default Target,[],989796054.0,"['Grade 4 Gemdraught', ""The Wanderer's Minuet""]"
1400,1400,Striking Muse,,,,,,,[]
893,1425,Auto,90.0,6746.0,,Default Target,[],3078120.0,"[""The Wanderer's Minuet""]"
-1030,1500,Stormbite (dot),25.0,3085.0,,Default Target,[],663474.0,[]
-200,1500,Biolysis (dot),85.0,11258.0,,Default Target,[],7771012.0,[]
-170,1500,Dia (dot),85.0,11244.0,,Default Target,[],7456489.0,[]
620,1650,Empyreal Arrow,260.0,32412.0,,Default Target,[],74545532.0,"[""The Wanderer's Minuet""]"
1120,1652,Auto,90.0,0.0,,Default Target,[],0.0,"['Grade 4 Gemdraught', ""The Wanderer's Minuet""]"
801,1961,Shadow of Death,300.0,31189.0,,Default Target,[],69679285.0,"[""The Wanderer's Minuet""]"
1500,2032,Auto,90.0,222.0,,Default Target,[],3081.0,"[""The Wanderer's Minuet""]"
2100,2100,Wing Motif,,,,,,,[]
1750,2374,Edge of Shadow,460.0,40675.0,,Default Target,[],111926434.0,"['Grade 4 Gemdraught', ""The Wanderer's Minuet""]"
2421,2421,Grade 4 Gemdraught,,,,,,,[]
1460,2750,Caustic Bite,150.0,18696.0,,Default Target,[],24801754.0,"[""The Wanderer's Minuet""]"
3000,3000,Grade 4 Gemdraught,,,,,,,[]
3120,3120,Grade 4 Gemdraught,,,,,,,[]
2500,3124,Syphon Strike,380.0,36956.0,,Default Target,[],92391454.0,"['Darkside', 'Grade 4 Gemdraught', ""The Wanderer's Minuet""]"
3125,3125,Living Shadow,,,,,,,[]
3125,3125,Bloodfest,,,,,,,[]
2500,3574,Brutal Shell,380.0,30619.0,,Default Target,[],63421054.0,"[""The Wanderer's Minuet""]"
3190,3722,Auto,90.0,11857.0,,Default Target,[],10070274.0,"[""Death's Design"", 'Grade 4 Gemdraught', ""The Wanderer's Minuet""]"
3740,3740,Lance Charge,,,,,,,[]
3743,3743,Swiftcast,,,,,,,[]
3750,3750,Grade 4 Gemdraught,,,,,,,[]
3040,3798,Shot,80.0,8405.0,,Default Target,[],5011860.0,"[""The Wanderer's Minuet""]"
2500,3880,Spiral Blow,300.0,31269.0,,Default Target,[],70217791.0,"[""The Wanderer's Minuet""]"
3140,3940,Broil IV,320.0,44823.0,,Default Target,[],125939291.0,"['Grade 4 Gemdraught', ""The Wanderer's Minuet""]"
3541,4073,Auto,90.0,8621.0,,Default Target,[],5027856.0,"['Darkside', 'Grade 4 Gemdraught', ""The Wanderer's Minuet""]"
3560,4092,Auto,90.0,9619.0,,Default Target,[],6645356.0,"['Power Surge', ""The Wanderer's Minuet""]"
3693,4225,Auto,90.0,6746.0,,Default Target,[],3078120.0,"[""The Wanderer's Minuet""]"
3291,4321,Soul Slice,520.0,64367.0,,Default Target,[],296776665.0,"[""Death's Design"", 'Grade 4 Gemdraught', ""The Wanderer's Minuet""]"
-1030,4500,Stormbite (dot),25.0,3085.0,,Default Target,[],663474.0,[]
-200,4500,Biolysis (dot),85.0,11258.0,,Default Target,[],7771012.0,[]
-170,4500,Dia (dot),85.0,11244.0,,Default Target,[],7456489.0,[]
1460,4500,Caustic Bite (dot),20.0,2493.0,,Default Target,[],441151.0,"[""The Wanderer's Minuet""]"
3220,4510,Glare III,350.0,49638.0,,Default Target,[],148847311.0,"['Grade 4 Gemdraught', ""The Wanderer's Minuet""]"
4511,4511,Arcane Circle,,,,,,,[]
4644,4644,Arcane Circle,,,,,,,[]
4644,4644,Arcane Circle,,,,,,,[]
4644,4644,Arcane Circle,,,,,,,[]
4644,4644,Arcane Circle,,,,,,,[]
4644,4644,Arcane Circle,,,,,,,[]
4644,4644,Arcane Circle,,,,,,,[]
4644,4644,Arcane Circle,,,,,,,[]
4970,4970,Battle Voice,,,,,,,[]
4560,5092,Auto,90.0,0.0,,Default Target,[],0.0,"['Grade 4 Gemdraught', ""The Wanderer's Minuet""]"
5103,5103,Battle Voice,,,,,,,[]
5103,5103,Battle Voice,,,,,,,[]
5103,5103,Battle Voice,,,,,,,[]
5103,5103,Battle Voice,,,,,,,[]
5103,5103,Battle Voice,,,,,,,[]
5103,5103,Battle Voice,,,,,,,[]
5103,5103,Battle Voice,,,,,,,[]
4620,5152,Auto,90.0,222.0,,Default Target,[],3081.0,"['Grade 4 Gemdraught', ""The Wanderer's Minuet""]"
5220,5220,Chain Stratagem,,,,,,,[]
5220,5220,Chain Stratagem,,,,,,,[]
5220,5220,Chain Stratagem,,,,,,,[]
5220,5220,Chain Stratagem,,,,,,,[]
5220,5220,Chain Stratagem,,,,,,,[]
5220,5220,Chain Stratagem,,,,,,,[]
5220,5220,Chain Stratagem,,,,,,,[]
5220,5220,Chain Stratagem,,,,,,,[]
4600,5400,Broil IV,320.0,44823.0,,Default Target,[],125939291.0,"['Grade 4 Gemdraught', 'Swiftcast', ""The Wanderer's Minuet""]"
5400,5400,Starry Muse,,,,,,,[]
5400,5400,Starry Muse,,,,,,,[]
5400,5400,Starry Muse,,,,,,,[]
5400,5400,Starry Muse,,,,,,,[]
5400,5400,Starry Muse,,,,,,,[]
5400,5400,Starry Muse,,,,,,,[]
5400,5400,Starry Muse,,,,,,,[]
5400,5400,Starry Muse,,,,,,,[]
3950,5420,Burst Shot,220.0,29680.0,1.0,Default Target,[],62505535.0,"['Grade 4 Gemdraught', ""The Wanderer's Minuet""]"
5000,5450,Chaotic Spring,340.0,46401.0,,Default Target,[],154621336.0,"['Grade 4 Gemdraught', 'Lance Charge', 'Power Surge', ""The Wanderer's Minuet""]"
5533,5533,Starry Muse,,,,,,,[]
5533,5533,Starry Muse,,,,,,,[]
5533,5533,Starry Muse,,,,,,,[]
5533,5533,Starry Muse,,,,,,,[]
5533,5533,Starry Muse,,,,,,,[]
5533,5533,Starry Muse,,,,,,,[]
5533,5533,Starry Muse,,,,,,,[]
5590,5590,Radiant Finale,,,,,,,[]
5620,5620,Battle Litany,,,,,,,[]
5000,5624,Souleater,480.0,46684.0,,Default Target,[],147444357.0,"['Darkside', 'Grade 4 Gemdraught', ""The Wanderer's Minuet""]"
5625,5625,Delirium,,,,,,,[]
5625,5625,No Mercy,,,,,,,[]
5100,5632,Auto,90.0,0.0,,Default Target,[],0.0,"['Grade 4 Gemdraught', ""The Wanderer's Minuet""]"
5723,5723,Radiant Finale,,,,,,,[]
5723,5723,Radiant Finale,,,,,,,[]
5723,5723,Radiant Finale,,,,,,,[]
5723,5723,Radiant Finale,,,,,,,[]
5723,5723,Radiant Finale,,,,,,,[]
5723,5723,Radiant Finale,,,,,,,[]
5723,5723,Radiant Finale,,,,,,,[]
5753,5753,Battle Litany,,,,,,,[]
5753,5753,Battle Litany,,,,,,,[]
5753,5753,Battle Litany,,,,,,,[]
5753,5753,Battle Litany,,,,,,,[]
5753,5753,Battle Litany,,,,,,,[]
5753,5753,Battle Litany,,,,,,,[]
5753,5753,Battle Litany,,,,,,,[]
5131,6201,Gluttony,520.0,64367.0,,Default Target,[],296776665.0,"[""Death's Design"", 'Grade 4 Gemdraught', ""The Wanderer's Minuet""]"
6252,6252,Presence of Mind,,,,,,,[]
