sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4654999999998,14035.471,432.9,32920.045,571.421,326130,24800678,430486
Burst Shot,184.63529999999997,28739.055,53.917,7043.428,168.304,40619,5306244,126794
Refulgent Arrow,91.7148,40181.17,34.087,4891.689,229.295,25680,3685208,172742
Shot,248.0,9309.407,26.335,3064.577,52.626,19840,2308733,39646
Heartbreak Shot,89.97490000000002,25441.718,21.497,3038.538,117.596,16195,2289116,88592
Empyreal Arrow,49.0,35896.98,16.911,2334.806,90.301,12740,1758952,68029
Pitch Perfect,32.49059999999999,53858.531,14.307,2322.785,198.862,10778,1749896,149815
Radiant Encore,7.0,203997.429,9.69,1895.482,192.443,7300,1427982,144979
Apex Arrow,12.0,109488.833,10.85,1744.006,320.132,8174,1313866,241175
Blast Arrow,11.6499,112686.203,10.823,1742.568,140.117,8154,1312783,105559
Stormbite (dot),251.0,3623.733,8.329,1207.332,20.695,6275,909557,15591
Resonant Arrow,7.0,125267.143,5.947,1163.944,117.168,4480,876870,88270
Sidewinder,13.0,65158.077,6.902,1124.368,84.815,5200,847055,63896
Caustic Bite (dot),250.0,2900.6,6.637,962.553,16.537,5000,725150,12458
Iron Jaws,18.0,14346.611,2.389,342.783,21.926,1800,258239,16518
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
