sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4544999999998,13855.036,434.281,32533.617,562.154,327170,24509558,423505
Burst Shot,184.6631,28632.039,53.925,7018.257,166.546,40625,5287281,125469
Refulgent Arrow,91.6988,39813.716,34.081,4846.11,227.943,25675,3650870,171723
Shot,248.0,9237.145,26.335,3040.789,52.083,19840,2290812,39237
Heartbreak Shot,89.9561,25202.671,21.493,3009.359,116.114,16192,2267134,87476
Empyreal Arrow,49.0,35624.061,16.911,2317.055,89.365,12740,1745579,67324
Pitch Perfect,32.498400000000004,52903.189,14.311,2282.132,194.92,10781,1719269,146845
Radiant Encore,7.0,198056.286,9.69,1840.278,186.837,7300,1386394,140756
Apex Arrow,12.0,107486.833,10.847,1712.117,315.234,8172,1289842,237485
Blast Arrow,11.638100000000001,110653.715,10.813,1709.405,137.214,8146,1287799,103372
Stormbite (dot),251.0,3581.781,8.329,1193.355,20.391,6275,899027,15362
Resonant Arrow,7.0,121618.714,5.947,1130.044,113.756,4480,851331,85699
Sidewinder,13.0,63930.154,6.902,1103.179,82.98,5200,831092,62514
Caustic Bite (dot),250.0,2866.7,6.637,951.304,16.294,5000,716675,12275
Iron Jaws,18.0,14190.333,2.389,339.049,21.618,1800,255426,16286
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
