sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4864000000002,13896.449,431.055,32557.078,559.275,324740,24527233,421336
Burst Shot,184.6208,28630.116,53.913,7016.178,167.544,40616,5285715,126221
Refulgent Arrow,91.7281,39974.37,34.091,4867.219,228.426,25683,3666773,172087
Shot,248.0,9235.21,26.335,3040.152,52.076,19840,2290332,39232
Heartbreak Shot,89.9666,25202.342,21.494,3009.671,116.114,16193,2267369,87476
Empyreal Arrow,49.0,35624.061,16.911,2317.055,89.365,12740,1745579,67324
Pitch Perfect,32.5198,52921.482,14.324,2284.424,194.92,10791,1720996,146845
Radiant Encore,7.0,198056.286,9.69,1840.278,186.837,7300,1386394,140756
Apex Arrow,11.999999999999998,107542.583,10.854,1713.005,309.176,8177,1290511,232921
Blast Arrow,11.6511,110632.129,10.825,1710.981,137.214,8155,1288986,103372
Stormbite (dot),251.0,3581.781,8.329,1193.355,20.391,6275,899027,15362
Resonant Arrow,7.0,121618.714,5.947,1130.044,113.756,4480,851331,85699
Sidewinder,13.0,63930.154,6.902,1103.179,82.98,5200,831092,62514
Caustic Bite (dot),250.0,2866.7,6.637,951.304,16.294,5000,716675,12275
Iron Jaws,18.0,14190.333,2.389,339.049,21.618,1800,255426,16286
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
