sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4229,14140.198,434.028,33203.22,587.25,326980,25014011,442411
Burst Shot,184.7455,28789.513,53.95,7060.006,169.792,40644,5318733,127915
Refulgent Arrow,91.61009999999999,40701.113,34.047,4949.331,232.051,25650,3728633,174818
Shot,248.0,9357.5,26.335,3080.409,53.393,19840,2320660,40224
Heartbreak Shot,89.9169,25602.073,21.484,3055.718,119.749,16185,2302059,90214
Pitch Perfect,32.506,54558.205,14.313,2354.076,204.805,10783,1773469,154292
Empyreal Arrow,49.0,36077.857,16.911,2346.571,91.667,12740,1767815,69058
Radiant Encore,7.0,207933.857,9.69,1932.058,200.442,7300,1455537,151005
Apex Arrow,12.0,110770.75,10.847,1764.425,331.374,8172,1329249,249644
Blast Arrow,11.6444,114047.353,10.82,1762.784,144.303,8151,1328013,108712
Stormbite (dot),251.0,3651.641,8.329,1216.631,21.14,6275,916562,15926
Resonant Arrow,7.0,127684.571,5.947,1186.406,122.038,4480,893792,91939
Sidewinder,13.0,65971.615,6.902,1138.406,87.457,5200,857631,65887
Caustic Bite (dot),250.0,2922.92,6.637,969.96,16.892,5000,730730,12726
Iron Jaws,18.0,14450.056,2.389,345.254,22.372,1800,260101,16854
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
