sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4936000000002,14022.245,433.55,32926.249,578.537,326620,24805352,435847
Burst Shot,184.6236,28706.308,53.914,7034.957,168.721,40617,5299862,127108
Refulgent Arrow,91.72630000000001,40282.503,34.091,4904.641,231.566,25683,3694965,174453
Shot,248.0,9306.98,26.335,3063.778,52.996,19840,2308131,39925
Heartbreak Shot,89.977,25440.59,21.497,3038.474,118.716,16195,2289068,89436
Empyreal Arrow,49.0,35895.878,16.911,2334.735,91.009,12740,1758898,68563
Pitch Perfect,32.5166,53880.48,14.317,2325.592,202.031,10786,1752010,152202
Radiant Encore,7.0,203973.0,9.69,1895.255,196.624,7300,1427811,148129
Apex Arrow,12.0,109521.583,10.855,1744.528,323.529,8178,1314259,243734
Blast Arrow,11.6501,112674.998,10.825,1742.425,142.298,8155,1312675,107202
Stormbite (dot),251.0,3623.673,8.329,1207.312,20.928,6275,909542,15766
Resonant Arrow,7.0,125252.714,5.947,1163.81,119.714,4480,876769,90188
Sidewinder,13.0,65153.0,6.902,1124.28,86.192,5200,846989,64934
Caustic Bite (dot),250.0,2900.48,6.637,962.513,16.722,5000,725120,12598
Iron Jaws,18.0,14345.889,2.389,342.765,22.158,1800,258226,16693
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
