sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4881,13864.949,433.053,32538.49,568.946,326245,24513229,428622
Burst Shot,184.6889,28599.683,53.933,7011.305,167.931,40631,5282044,126513
Refulgent Arrow,91.6732,39918.013,34.071,4857.448,229.258,25668,3659412,172714
Shot,248.0,9234.819,26.335,3040.023,52.434,19840,2290235,39502
Heartbreak Shot,89.9589,25201.864,21.493,3009.357,117.184,16192,2267132,88282
Empyreal Arrow,49.0,35622.959,16.911,2316.983,90.04,12740,1745525,67833
Pitch Perfect,32.5292,52890.265,14.313,2283.736,197.978,10783,1720478,149149
Radiant Encore,7.0,198032.286,9.69,1840.055,190.897,7300,1386226,143814
Apex Arrow,12.0,107511.417,10.851,1712.508,318.514,8175,1290137,239956
Blast Arrow,11.637900000000002,110645.563,10.813,1709.25,139.314,8146,1287682,104954
Stormbite (dot),251.0,3581.602,8.329,1193.295,20.613,6275,898982,15529
Resonant Arrow,7.0,121604.429,5.947,1129.911,116.227,4480,851231,87561
Sidewinder,13.0,63925.231,6.902,1103.094,84.308,5200,831028,63514
Caustic Bite (dot),250.0,2866.7,6.637,951.304,16.472,5000,716675,12409
Iron Jaws,18.0,14189.722,2.389,339.034,21.841,1800,255415,16454
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
