sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4661999999998,13865.831,433.55,32540.56,569.98,326620,24514789,429401
Burst Shot,184.65949999999998,28599.682,53.925,7010.189,167.657,40625,5281203,126306
Refulgent Arrow,91.6855,39917.555,34.075,4858.044,228.497,25671,3659861,172141
Shot,248.0,9234.819,26.335,3040.023,52.434,19840,2290235,39502
Heartbreak Shot,89.94659999999999,25201.82,21.49,3008.94,117.184,16190,2266818,88282
Empyreal Arrow,49.0,35622.959,16.911,2316.983,90.04,12740,1745525,67833
Pitch Perfect,32.519600000000004,52921.992,14.319,2284.432,197.978,10787,1721002,149149
Radiant Encore,7.0,198032.286,9.69,1840.055,190.897,7300,1386226,143814
Apex Arrow,12.0,107526.417,10.853,1712.747,321.045,8176,1290317,241863
Blast Arrow,11.655000000000001,110617.246,10.829,1711.323,139.314,8158,1289244,104954
Stormbite (dot),251.0,3581.602,8.329,1193.295,20.613,6275,898982,15529
Resonant Arrow,7.0,121604.429,5.947,1129.911,116.227,4480,851231,87561
Sidewinder,13.0,63925.231,6.902,1103.094,84.308,5200,831028,63514
Caustic Bite (dot),250.0,2866.7,6.637,951.304,16.472,5000,716675,12409
Iron Jaws,18.0,14189.722,2.389,339.034,21.841,1800,255415,16454
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
