sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4639,14036.291,433.55,32940.598,578.615,326620,24816162,435906
Burst Shot,184.63479999999998,28741.039,53.917,7043.895,168.955,40619,5306596,127284
Refulgent Arrow,91.71350000000001,40313.836,34.086,4907.771,229.742,25679,3697323,173079
Shot,248.0,9312.915,26.335,3065.732,53.032,19840,2309603,39952
Heartbreak Shot,89.93610000000001,25441.919,21.488,3037.252,118.716,16188,2288147,89436
Empyreal Arrow,49.0,35895.878,16.911,2334.735,91.009,12740,1758898,68563
Pitch Perfect,32.5278,53906.013,14.324,2327.495,201.878,10791,1753444,152087
Radiant Encore,7.0,203973.0,9.69,1895.255,196.624,7300,1427811,148129
Apex Arrow,12.0,109487.333,10.851,1743.982,324.933,8175,1313848,244792
Blast Arrow,11.651700000000002,112671.885,10.826,1742.616,142.298,8156,1312819,107202
Stormbite (dot),251.0,3623.673,8.329,1207.312,20.928,6275,909542,15766
Resonant Arrow,7.0,125252.714,5.947,1163.81,119.714,4480,876769,90188
Sidewinder,13.0,65153.0,6.902,1124.28,86.192,5200,846989,64934
Caustic Bite (dot),250.0,2900.48,6.637,962.513,16.722,5000,725120,12598
Iron Jaws,18.0,14345.889,2.389,342.765,22.158,1800,258226,16693
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
