sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4714,13879.204,432.807,32553.522,568.904,326060,24524554,428590
Burst Shot,184.71119999999996,28633.7,53.94,7020.492,167.882,40636,5288965,126476
Refulgent Arrow,91.64070000000001,39949.455,34.059,4859.551,229.486,25659,3660996,172886
Shot,248.0,9240.577,26.335,3041.919,52.469,19840,2291663,39528
Heartbreak Shot,89.9469,25201.769,21.49,3008.944,117.184,16190,2266821,88282
Empyreal Arrow,49.0,35622.959,16.911,2316.983,90.04,12740,1745525,67833
Pitch Perfect,32.524499999999996,52925.21,14.321,2284.915,197.831,10789,1721366,149038
Radiant Encore,7.0,198032.286,9.69,1840.055,190.897,7300,1386226,143814
Apex Arrow,11.999999999999996,107503.083,10.851,1712.376,318.385,8175,1290037,239859
Blast Arrow,11.648100000000001,110627.227,10.822,1710.464,139.314,8153,1288597,104954
Stormbite (dot),251.0,3581.602,8.329,1193.295,20.613,6275,898982,15529
Resonant Arrow,7.0,121604.429,5.947,1129.911,116.227,4480,851231,87561
Sidewinder,13.0,63925.231,6.902,1103.094,84.308,5200,831028,63514
Caustic Bite (dot),250.0,2866.7,6.637,951.304,16.472,5000,716675,12409
Iron Jaws,18.0,14189.722,2.389,339.034,21.841,1800,255415,16454
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
