sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4184,13802.189,429.787,32281.279,559.319,323785,24319457,421369
Burst Shot,184.7036,28554.046,53.937,7000.674,167.139,40634,5274035,125916
Refulgent Arrow,91.6542,39552.797,34.065,4812.009,227.842,25663,3625180,171647
Shot,248.0,9192.367,26.335,3026.049,52.101,19840,2279707,39251
Heartbreak Shot,89.9451,25049.892,21.49,2990.751,116.227,16190,2253115,87561
Empyreal Arrow,49.0,35449.714,16.911,2305.715,89.435,12740,1737036,67377
Pitch Perfect,32.473299999999995,52303.338,14.305,2254.513,195.215,10777,1698462,147067
Radiant Encore,7.0,194260.429,9.69,1805.008,187.261,7300,1359823,141075
Apex Arrow,11.999999999999998,106248.75,10.851,1692.396,309.165,8175,1274985,232913
Blast Arrow,11.642199999999999,109339.128,10.817,1689.692,137.433,8149,1272948,103537
Stormbite (dot),251.0,3554.829,8.329,1184.375,20.414,6275,892262,15379
Resonant Arrow,7.0,119288.143,5.947,1108.389,114.013,4480,835017,85893
Sidewinder,13.0,63145.846,6.902,1089.645,83.118,5200,820896,62618
Caustic Bite (dot),250.0,2845.34,6.637,944.215,16.312,5000,711335,12289
Iron Jaws,18.0,14090.5,2.389,336.663,21.642,1800,253629,16304
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
