sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4452999999999,13787.556,430.902,32283.657,558.787,324625,24321248,420968
Burst Shot,184.5999,28553.542,53.906,6996.62,167.139,40611,5270981,125916
Refulgent Arrow,91.7599,39550.773,34.103,4817.312,226.979,25692,3629175,170997
Shot,248.0,9192.367,26.335,3026.049,52.101,19840,2279707,39251
Heartbreak Shot,89.93260000000001,25049.882,21.486,2990.334,116.227,16187,2252801,87561
Empyreal Arrow,49.0,35449.714,16.911,2305.715,89.435,12740,1737036,67377
Pitch Perfect,32.5127,52285.568,14.316,2256.481,195.215,10785,1699945,147067
Radiant Encore,7.0,194260.429,9.69,1805.008,187.261,7300,1359823,141075
Apex Arrow,12.0,106241.333,10.85,1692.278,308.837,8174,1274896,232666
Blast Arrow,11.6402,109338.156,10.816,1689.387,137.433,8148,1272718,103537
Stormbite (dot),251.0,3554.829,8.329,1184.375,20.414,6275,892262,15379
Resonant Arrow,7.0,119288.143,5.947,1108.389,114.013,4480,835017,85893
Sidewinder,13.0,63145.846,6.902,1089.645,83.118,5200,820896,62618
Caustic Bite (dot),250.0,2845.34,6.637,944.215,16.312,5000,711335,12289
Iron Jaws,18.0,14090.5,2.389,336.663,21.642,1800,253629,16304
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
