sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4764,13592.557,433.61,31917.279,552.831,326665,24045233,416481
Burst Shot,184.8052,28450.807,53.967,6979.2,166.433,40657,5257857,125384
Refulgent Arrow,91.53960000000001,39209.763,34.022,4764.311,226.003,25631,3589246,170262
Shot,248.0,9123.48,26.335,3003.372,51.581,19840,2262623,38859
Heartbreak Shot,89.95679999999999,24821.47,21.493,2963.865,114.808,16192,2232860,86492
Empyreal Arrow,49.0,35189.755,16.911,2288.807,88.541,12740,1724298,66703
Pitch Perfect,32.519600000000004,51365.484,14.317,2217.244,191.413,10786,1670385,144203
Radiant Encore,7.0,188602.286,9.69,1752.435,181.807,7300,1320216,136966
Apex Arrow,11.999999999999998,104382.333,10.854,1662.666,308.693,8177,1252588,232557
Blast Arrow,11.6552,107362.465,10.829,1660.998,134.63,8158,1251331,101425
Stormbite (dot),251.0,3514.789,8.329,1171.035,20.122,6275,882212,15159
Resonant Arrow,7.0,115813.714,5.947,1076.106,110.693,4480,810696,83392
Sidewinder,13.0,61976.385,6.902,1069.465,81.346,5200,805693,61283
Caustic Bite (dot),250.0,2813.0,6.637,933.483,16.079,5000,703250,12113
Iron Jaws,18.0,13941.722,2.389,333.109,21.348,1800,250951,16083
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
