sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,591,35612.814,244.365,27906.62,222.762,184300,21047173,168007
Fell Cleave,71,75573.901,54.601,7114.488,103.638,41180,5365747,78164
Inner Chaos,22,109327.0,19.252,3189.067,19.661,14520,2405194,14828
Auto,225,9162.338,26.85,2733.394,47.041,20250,2061526,35478
Maim,61,30440.148,27.499,2462.011,81.314,20740,1856849,61327
Storm's Path,40,44746.775,26.518,2373.205,96.767,20000,1789871,72982
Primal Ruination,13,127362.077,13.445,2195.316,17.609,10140,1655707,13281
Primal Rend,13,114299.231,12.066,1970.154,15.805,9100,1485890,11920
Heavy Swing,61,21454.508,19.411,1735.249,57.311,14640,1308725,43224
Storm's Eye,21,44627.571,13.922,1242.613,69.947,10500,937179,52754
Upheaval,24,38656.708,13.365,1230.126,64.845,10080,927761,48906
Primal Wrath,13,66270.231,12.066,1142.287,81.848,9100,861513,61730
Onslaught,27,14489.296,5.37,518.71,25.789,4050,391211,19450
