sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs
-16000,-16000,Form Shift,,,,,,,[]
-5000,-5000,Reassemble,,,,,,,[]
-2600,-2600,Medica,,,,,,,[]
-2000,-2000,Grade 4 Gemdraught,,,,,,,[]
-300,-300,Thunderclap,,,,,,,[]
-630,37,Onslaught,150.0,12126.0,,Default Target,[],9774958.0,[]
-540,40,Pneuma,380.0,49391.0,,Default Target,[],147266966.0,[]
68,68,Grade 4 Gemdraught,,,,,,,[]
-1200,90,Reaving Fangs,200.0,20340.0,,Default Target,[],29194025.0,[]
93,93,Serpent's Ire,,,,,,,[]
100,100,Swiftcast,,,,,,,[]
-1000,150,Air Anchor,660.0,152217.0,,Default Target,['Reassemble'],19309106.0,"['Grade 4 Gemdraught', 'Reassemble']"
-500,258,Holy Spirit,400.0,31913.0,,Default Target,[],67703560.0,[]
-380,330,Checkmate,180.0,24091.0,,Default Target,[],40811374.0,['Grade 4 Gemdraught']
450,450,Grade 4 Gemdraught,,,,,,,[]
37,569,Auto,90.0,8128.0,,Default Target,[],4391455.0,[]
40,572,Auto,90.0,21.0,,Default Target,[],25.0,[]
-1200,590,Fire III,290.0,33775.0,,Default Target,['3 Astral Fire'],35211484.0,[]
90,622,Auto,90.0,8038.0,,Default Target,[],4558348.0,[]
170,702,Heavy Swing,240.0,19401.0,,Default Target,[],25021639.0,[]
258,790,Auto,90.0,5328.0,,Default Target,[],1887023.0,[]
795,795,Infuriate,,,,,,,[]
800,800,Grade 4 Gemdraught,,,,,,,[]
150,908,Shot,80.0,7847.0,,Default Target,[],4329995.0,['Grade 4 Gemdraught']
240,950,Double Check,180.0,24091.0,,Default Target,[],40811374.0,['Grade 4 Gemdraught']
-170,1120,Dia,85.0,10969.0,,Default Target,[],7095404.0,[]
1120,1120,Perfect Balance,,,,,,,[]
590,1122,Auto,90.0,0.0,,Default Target,[],0.0,['Enochian']
-170,1500,Dia (dot),85.0,11244.0,,Default Target,[],7456489.0,[]
1000,1623,Fast Blade,220.0,17548.0,,Default Target,[],20469011.0,[]
1120,1652,Auto,90.0,0.0,,Default Target,[],0.0,['Grade 4 Gemdraught']
500,1790,Dragon Kick,320.0,31758.0,,Default Target,['Formless Fist'],69207756.0,['Formless Fist']
1050,1810,High Thunder,150.0,22191.0,,Default Target,[],15203066.0,['Enochian']
2121,2121,Barrel Stabilizer,,,,,,,[]
2250,2250,Amplifier,,,,,,,[]
1790,2322,Auto,90.0,7776.0,,Default Target,[],4148433.0,[]
1301,2461,Swiftskin's Sting,300.0,30511.0,,Default Target,[],65691910.0,[]
1501,2651,Drill,660.0,88349.0,,Default Target,[],548862248.0,['Grade 4 Gemdraught']
1550,2710,Fire IV,300.0,86475.0,,Default Target,['3 Astral Fire'],230834749.0,"['Enochian', 'Grade 4 Gemdraught', 'Swiftcast']"
2950,2950,Ley Lines,,,,,,,[]
2498,3030,Auto,90.0,5328.0,,Default Target,[],1887023.0,[]
2440,3060,Leaping Opo,460.0,63271.0,,Default Target,"['Opo-opo Form', ""Opo-opo's Fury""]",41724975.0,"['Opo-opo Form', ""Opo-opo's Fury""]"
3060,3060,Grade 4 Gemdraught,,,,,,,[]
1770,3190,The Forbidden Chakra,400.0,39702.0,1.0,Default Target,[],108158778.0,[]
2730,3262,Auto,90.0,8038.0,,Default Target,[],4558348.0,['Swiftscaled']
2670,3293,Maim,340.0,27490.0,,Default Target,[],50236558.0,[]
2790,3548,Shot,80.0,7847.0,,Default Target,[],4329995.0,['Grade 4 Gemdraught']
3397,3929,Auto,90.0,8128.0,,Default Target,[],4391455.0,[]
3401,4071,Dosis III,380.0,53462.0,,Default Target,[],172533440.0,['Grade 4 Gemdraught']
4125,4125,Grade 4 Gemdraught,,,,,,,[]
3500,4258,Riot Blade,330.0,26327.0,,Default Target,[],46074807.0,[]
3830,4362,Auto,90.0,8418.0,,Default Target,[],4862252.0,['Grade 4 Gemdraught']
3801,4381,Vicewinder,500.0,50856.0,,Default Target,[],182510550.0,['Swiftscaled']
3901,4433,Auto,90.0,21.0,,Default Target,[],25.0,['Grade 4 Gemdraught']
-170,4500,Dia (dot),85.0,11244.0,,Default Target,[],7456489.0,[]
940,4500,Eukrasian Dosis III (dot),85.0,12172.0,,Default Target,[],8943404.0,['Grade 4 Gemdraught']
1050,4500,Thunder (dot),60.0,10027.0,,Default Target,[],3103341.0,['Enochian']
3220,4510,Glare III,350.0,49122.0,,Default Target,[],142303382.0,['Grade 4 Gemdraught']
5000,5000,Brotherhood,,,,,,,[]
4001,5031,Chain Saw,660.0,88349.0,,Default Target,[],548862248.0,['Grade 4 Gemdraught']
4560,5092,Auto,90.0,0.0,,Default Target,[],0.0,['Grade 4 Gemdraught']
3710,5130,The Forbidden Chakra,400.0,0.0,0.0,Default Target,[],126781374.0,['Grade 4 Gemdraught']
5133,5133,Brotherhood,,,,,,,[]
5133,5133,Brotherhood,,,,,,,[]
5133,5133,Brotherhood,,,,,,,[]
5133,5133,Brotherhood,,,,,,,[]
5133,5133,Brotherhood,,,,,,,[]
5133,5133,Brotherhood,,,,,,,[]
5133,5133,Brotherhood,,,,,,,[]
4738,5270,Auto,90.0,5328.0,,Default Target,[],1887023.0,[]
4970,5502,Auto,90.0,8038.0,,Default Target,[],4558348.0,['Swiftscaled']
5620,5620,Riddle of Fire,,,,,,,[]
4380,5670,Dragon Kick,320.0,34386.0,,Default Target,['Opo-opo Form'],81138168.0,"['Grade 4 Gemdraught', 'Opo-opo Form']"
