sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Chaotic Spring,Chaotic Spring (dot),Dragonfire Dive,Drakesbane,Fang and Claw,Geirskogul,Heavens' Thrust,High Jump,Lance Barrage,Mirage Dive,Nastrond,Piercing Talon,Raiden Thrust,Rise of the Dragon,Spiral Blow,Starcross,Stardiver,True Thrust,Wheeling Thrust,Wyrmwind Thrust
0,760,True Thrust,23719.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23719,0,0
760,1292,Auto,8653.0,8653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23719,0,0
2500,3880,Spiral Blow,30938.0,8653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30938,0,0,23719,0,0
3560,4092,Auto,9993.0,18646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30938,0,0,23719,0,0
5000,5850,Piercing Talon,45113.0,18646,0,0,0,0,0,0,0,0,0,0,0,45113,0,0,30938,0,0,23719,0,0
6360,6892,Auto,11395.0,30041,0,0,0,0,0,0,0,0,0,0,0,45113,0,0,30938,0,0,23719,0,0
6860,7530,Geirskogul,38018.0,30041,0,0,0,0,0,38018,0,0,0,0,0,45113,0,0,30938,0,0,23719,0,0
7500,7950,Chaotic Spring,58402.0,30041,58402,0,0,0,0,38018,0,0,0,0,0,45113,0,0,30938,0,0,23719,0,0
8119,8609,High Jump,68707.0,30041,58402,0,0,0,0,38018,0,68707,0,0,0,45113,0,0,30938,0,0,23719,0,0
9160,9692,Auto,14415.0,44456,58402,0,0,0,0,38018,0,68707,0,0,0,45113,0,0,30938,0,0,23719,0,0
8920,9720,Mirage Dive,65271.0,44456,58402,0,0,0,0,38018,0,68707,0,65271,0,45113,0,0,30938,0,0,23719,0,0
7500,10500,Chaotic Spring (dot),7724.0,44456,58402,7724,0,0,0,38018,0,68707,0,65271,0,45113,0,0,30938,0,0,23719,0,0
10000,10620,Wheeling Thrust,58402.0,44456,58402,7724,0,0,0,38018,0,68707,0,65271,0,45113,0,0,30938,0,0,23719,58402,0
10620,11420,Dragonfire Dive,85885.0,44456,58402,7724,85885,0,0,38018,0,68707,0,65271,0,45113,0,0,30938,0,0,23719,58402,0
11960,12492,Auto,14415.0,58871,58402,7724,85885,0,0,38018,0,68707,0,65271,0,45113,0,0,30938,0,0,23719,58402,0
12500,13120,Drakesbane,110472.0,58871,58402,7724,85885,110472,0,38018,0,68707,0,65271,0,45113,0,0,30938,0,0,23719,58402,0
7500,13500,Chaotic Spring (dot),7724.0,58871,58402,15448,85885,110472,0,38018,0,68707,0,65271,0,45113,0,0,30938,0,0,23719,58402,0
13120,14280,Rise of the Dragon,94477.0,58871,58402,15448,85885,110472,0,38018,0,68707,0,65271,0,45113,0,94477,30938,0,0,23719,58402,0
13740,14500,Nastrond,123676.0,58871,58402,15448,85885,110472,0,38018,0,68707,0,65271,123676,45113,0,94477,30938,0,0,23719,58402,0
14760,15292,Auto,14415.0,73286,58402,15448,85885,110472,0,38018,0,68707,0,65271,123676,45113,0,94477,30938,0,0,23719,58402,0
15000,15620,Raiden Thrust,54965.0,73286,58402,15448,85885,110472,0,38018,0,68707,0,65271,123676,45113,54965,94477,30938,0,0,23719,58402,0
7500,16500,Chaotic Spring (dot),7724.0,73286,58402,23172,85885,110472,0,38018,0,68707,0,65271,123676,45113,54965,94477,30938,0,0,23719,58402,0
15620,16910,Stardiver,144292.0,73286,58402,23172,85885,110472,0,38018,0,68707,0,65271,123676,45113,54965,94477,30938,0,144292,23719,58402,0
17560,18092,Auto,14415.0,87701,58402,23172,85885,110472,0,38018,0,68707,0,65271,123676,45113,54965,94477,30938,0,144292,23719,58402,0
17500,18440,Lance Barrage,58402.0,87701,58402,23172,85885,110472,0,38018,0,68707,58402,65271,123676,45113,54965,94477,30938,0,144292,23719,58402,0
18120,19100,Starcross,120245.0,87701,58402,23172,85885,110472,0,38018,0,68707,58402,65271,123676,45113,54965,94477,30938,120245,144292,23719,58402,0
7500,19500,Chaotic Spring (dot),7724.0,87701,58402,30896,85885,110472,0,38018,0,68707,58402,65271,123676,45113,54965,94477,30938,120245,144292,23719,58402,0
20000,20710,Heavens' Thrust,110472.0,87701,58402,30896,85885,110472,0,38018,110472,68707,58402,65271,123676,45113,54965,94477,30938,120245,144292,23719,58402,0
20360,20892,Auto,14415.0,102116,58402,30896,85885,110472,0,38018,110472,68707,58402,65271,123676,45113,54965,94477,30938,120245,144292,23719,58402,0
7500,22500,Chaotic Spring (dot),7724.0,102116,58402,38620,85885,110472,0,38018,110472,68707,58402,65271,123676,45113,54965,94477,30938,120245,144292,23719,58402,0
22500,23120,Fang and Claw,58402.0,102116,58402,38620,85885,110472,58402,38018,110472,68707,58402,65271,123676,45113,54965,94477,30938,120245,144292,23719,58402,0
23160,23692,Auto,14415.0,116531,58402,38620,85885,110472,58402,38018,110472,68707,58402,65271,123676,45113,54965,94477,30938,120245,144292,23719,58402,0
