sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,945,31210.772,290.019,39280.27,448.714,217765,29494180,336924
Drakesbane,59,64588.729,36.145,5075.127,148.17,27140,3810735,111256
Auto,268,10736.272,32.123,3832.008,63.426,24120,2877321,47624
Raiden Thrust,59,40797.814,25.144,3205.731,113.103,18880,2407071,84925
Heavens' Thrust,30,67854.567,18.379,2711.056,98.035,13800,2035637,73611
Wyrmwind Thrust,29,59109.586,16.994,2282.938,114.975,12760,1714178,86331
Stardiver,13,129966.615,14.543,2250.159,168.566,10920,1689566,126570
Nastrond,13,111398.154,12.466,1928.677,144.484,9360,1448176,108488
Starcross,13,108307.462,12.119,1875.167,140.475,9100,1407997,105478
High Jump,25,53963.08,13.318,1796.697,97.67,10000,1349077,73337
Chaotic Spring (dot),231,5785.16,13.844,1779.777,31.726,10395,1336372,23822
Lance Barrage,30,43796.9,13.584,1749.858,86.701,10200,1313907,65101
Fang and Claw,30,43624.2,13.584,1742.958,86.221,10200,1308726,64740
Mirage Dive,25,51262.28,12.652,1706.774,92.781,9500,1281557,69666
Chaotic Spring,29,43799.448,13.132,1691.628,85.142,9860,1270184,63930
Wheeling Thrust,29,43581.103,13.132,1683.195,84.768,9860,1263852,63649
Spiral Blow,29,37566.379,11.587,1450.893,72.779,8700,1089425,54647
Rise of the Dragon,7,90380.429,5.127,842.579,86.587,3850,632663,65015
Dragonfire Dive,7,82165.0,4.661,765.99,78.716,3500,575155,59105
Geirskogul,13,34242.462,4.848,592.852,44.413,3640,445152,33348
Piercing Talon,5,42742.0,2.331,284.618,33.861,1750,213710,25425
True Thrust,1,23719.0,0.306,31.589,8.396,230,23719,6304
