sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,945,31003.234,290.019,39019.073,444.866,217765,29298056,334034
Drakesbane,59,64280.593,36.145,5050.915,147.778,27140,3792555,110961
Auto,268,10684.657,32.123,3813.586,63.042,24120,2863488,47336
Raiden Thrust,59,40612.102,25.144,3191.138,112.444,18880,2396114,84430
Heavens' Thrust,30,67449.667,18.379,2694.879,97.749,13800,2023490,73396
Wyrmwind Thrust,29,58777.172,16.994,2270.099,114.186,12760,1704538,85738
Stardiver,13,128550.692,14.543,2225.645,166.597,10920,1671159,125092
Nastrond,13,110184.615,12.466,1907.666,142.797,9360,1432400,107221
Starcross,13,107127.615,12.119,1854.74,138.835,9100,1392659,104246
High Jump,25,53612.52,13.318,1785.025,96.9,10000,1340313,72759
Chaotic Spring (dot),231,5756.775,13.844,1771.044,31.529,10395,1329815,23674
Lance Barrage,30,43582.8,13.584,1741.304,86.159,10200,1307484,64694
Fang and Claw,30,43444.4,13.584,1735.774,85.76,10200,1303332,64394
Mirage Dive,25,50929.16,12.652,1695.683,92.05,9500,1273229,69117
Chaotic Spring,29,43580.828,13.132,1683.184,84.605,9860,1263844,63527
Wheeling Thrust,29,43362.483,13.132,1674.751,84.227,9860,1257512,63243
Spiral Blow,29,37438.724,11.587,1445.963,72.458,8700,1085723,54406
Rise of the Dragon,7,88659.143,5.127,826.532,84.937,3850,620614,63776
Dragonfire Dive,7,80599.857,4.661,751.399,77.218,3500,564199,57980
Geirskogul,13,33869.846,4.848,586.401,43.893,3640,440308,32958
Piercing Talon,5,42312.2,2.331,281.756,33.508,1750,211561,25160
True Thrust,1,23719.0,0.306,31.589,8.396,230,23719,6304
