sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,945,30691.067,290.019,38626.195,439.088,217765,29003058,329696
Drakesbane,59,63722.729,36.145,5007.08,146.823,27140,3759641,110244
Auto,268,10613.287,32.123,3788.112,62.513,24120,2844361,46939
Raiden Thrust,59,40333.322,25.144,3169.233,111.47,18880,2379666,83699
Heavens' Thrust,30,66842.367,18.379,2670.615,97.328,13800,2005271,73080
Wyrmwind Thrust,29,58278.517,16.994,2250.84,113.019,12760,1690077,84862
Stardiver,13,126427.154,14.543,2188.879,163.673,10920,1643553,122896
Nastrond,13,108364.154,12.466,1876.148,140.289,9360,1408734,105338
Starcross,13,105357.769,12.119,1824.098,136.397,9100,1369651,102416
High Jump,25,53086.72,13.318,1767.519,95.764,10000,1327168,71906
Chaotic Spring (dot),231,5714.165,13.844,1757.935,31.239,10395,1319972,23456
Lance Barrage,30,43261.7,13.584,1728.474,85.359,10200,1297851,64093
Fang and Claw,30,43174.7,13.584,1724.999,85.081,10200,1295241,63884
Mirage Dive,25,50429.8,12.652,1679.057,90.97,9500,1260745,68306
Chaotic Spring,29,43253.034,13.132,1670.524,83.811,9860,1254338,62931
Wheeling Thrust,29,43034.69,13.132,1662.091,83.43,9860,1248006,62645
Spiral Blow,29,37247.241,11.587,1438.568,71.984,8700,1080170,54050
Rise of the Dragon,7,86076.286,5.127,802.453,82.464,3850,602534,61919
Dragonfire Dive,7,78252.143,4.661,729.512,74.967,3500,547765,56290
Geirskogul,13,33310.308,4.848,576.714,43.124,3640,433034,32380
Piercing Talon,5,42312.2,2.331,281.756,33.508,1750,211561,25160
True Thrust,1,23719.0,0.306,31.589,8.396,230,23719,6304
