sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs
-3000,-3000,Elusive Jump,,,,,,,[]
-800,-800,Winged Glide,,,,,,,[]
0,760,True Thrust,230.0,23719.0,,Default Target,[],39748053.0,[]
760,1292,Auto,90.0,8653.0,,Default Target,[],5289289.0,[]
2500,3880,Spiral Blow,300.0,30938.0,,Default Target,[],67621990.0,[]
3560,4092,Auto,90.0,9517.0,,Default Target,[],6399668.0,['Power Surge']
4300,4300,Grade 4 Gemdraught,,,,,,,[]
5620,5620,Battle Litany,,,,,,,[]
5000,5850,Piercing Talon,350.0,42964.0,,Default Target,['Enhanced Piercing Talon'],130422632.0,"['Enhanced Piercing Talon', 'Grade 4 Gemdraught', 'Power Surge']"
6240,6240,Lance Charge,,,,,,,[]
6360,6892,Auto,90.0,10852.0,,Default Target,[],8692724.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Power Surge']"
6860,7530,Geirskogul,280.0,36208.0,,Default Target,[],96767674.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Power Surge']"
7500,7950,Chaotic Spring,340.0,55621.0,,Default Target,[],228337175.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
8119,8609,High Jump,400.0,65436.0,,Default Target,[],316035092.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
9160,9692,Auto,90.0,13729.0,,Default Target,[],13908982.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
8920,9720,Mirage Dive,380.0,62163.0,,Default Target,[],285214151.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
7500,10500,Chaotic Spring (dot),45.0,7356.0,,Default Target,[],3994238.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
10000,10620,Wheeling Thrust,340.0,55621.0,,Default Target,[],228337175.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
10620,11420,Dragonfire Dive,500.0,81795.0,,Default Target,[],493807209.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
11420,11420,Life Surge,,,,,,,[]
11960,12492,Auto,90.0,13729.0,,Default Target,[],13908982.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
12500,13120,Drakesbane,460.0,105212.0,,Default Target,['Wheeling Thrust'],136622357.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life Surge', 'Life of the Dragon', 'Power Surge', 'Wheeling Thrust']"
7500,13500,Chaotic Spring (dot),45.0,7356.0,,Default Target,[],3994238.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
13120,14280,Rise of the Dragon,550.0,89978.0,,Default Target,[],597566806.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
13740,14500,Nastrond,720.0,117786.0,,Default Target,[],1023989864.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
14760,15292,Auto,90.0,13729.0,,Default Target,[],13908982.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
15000,15620,Raiden Thrust,320.0,52347.0,,Default Target,[],202250355.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
7500,16500,Chaotic Spring (dot),45.0,7356.0,,Default Target,[],3994238.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
15620,16910,Stardiver,840.0,137421.0,,Default Target,[],1393850500.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
17560,18092,Auto,90.0,13729.0,,Default Target,[],13908982.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
17500,18440,Lance Barrage,340.0,55621.0,,Default Target,[],228337175.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
18740,18740,Life Surge,,,,,,,[]
18120,19100,Starcross,700.0,114519.0,,Default Target,[],967994483.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
7500,19500,Chaotic Spring (dot),45.0,7356.0,,Default Target,[],3994238.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
20000,20710,Heavens' Thrust,460.0,105212.0,,Default Target,[],136622357.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life Surge', 'Life of the Dragon', 'Power Surge']"
20360,20892,Auto,90.0,13729.0,,Default Target,[],13908982.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
7500,22500,Chaotic Spring (dot),45.0,7356.0,,Default Target,[],3994238.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
22500,23120,Fang and Claw,340.0,55621.0,,Default Target,[],228337175.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
23160,23692,Auto,90.0,13729.0,,Default Target,[],13908982.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
7500,25500,Chaotic Spring (dot),45.0,7356.0,,Default Target,[],3994238.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
25001,25621,Drakesbane,460.0,75252.0,,Default Target,['Fang and Claw'],417976462.0,"['Battle Litany', 'Fang and Claw', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
25960,26492,Auto,90.0,13729.0,,Default Target,[],13908982.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
27501,28121,Raiden Thrust,320.0,39279.0,,Default Target,[],109000868.0,"['Grade 4 Gemdraught', 'Power Surge']"
7500,28500,Chaotic Spring (dot),45.0,7356.0,,Default Target,[],3994238.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
28760,29292,Auto,90.0,10301.0,,Default Target,[],7496874.0,"['Grade 4 Gemdraught', 'Power Surge']"
28121,29321,Wyrmwind Thrust,440.0,54011.0,,Default Target,[],206110074.0,"['Grade 4 Gemdraught', 'Power Surge']"
30001,31381,Spiral Blow,300.0,36824.0,,Default Target,[],95803840.0,"['Grade 4 Gemdraught', 'Power Surge']"
7500,31500,Chaotic Spring (dot),45.0,7356.0,,Default Target,[],3994238.0,"['Battle Litany', 'Grade 4 Gemdraught', 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
31560,32092,Auto,90.0,10301.0,,Default Target,[],7496874.0,"['Grade 4 Gemdraught', 'Power Surge']"
32500,32950,Chaotic Spring,340.0,41736.0,,Default Target,[],123064178.0,"['Grade 4 Gemdraught', 'Power Surge']"
32500,34500,Chaotic Spring (dot),45.0,5520.0,,Default Target,[],2152180.0,"['Grade 4 Gemdraught', 'Power Surge']"
34360,34892,Auto,90.0,10301.0,,Default Target,[],7496874.0,"['Grade 4 Gemdraught', 'Power Surge']"
35001,35621,Wheeling Thrust,340.0,38570.0,,Default Target,[],105104800.0,['Power Surge']
32500,37500,Chaotic Spring (dot),45.0,5520.0,,Default Target,[],2152180.0,"['Grade 4 Gemdraught', 'Power Surge']"
37160,37692,Auto,90.0,9517.0,,Default Target,[],6399668.0,['Power Surge']
37501,38121,Drakesbane,460.0,52183.0,,Default Target,['Wheeling Thrust'],192381453.0,"['Power Surge', 'Wheeling Thrust']"
38121,38611,High Jump,400.0,45378.0,,Default Target,[],145482888.0,['Power Surge']
38921,39721,Mirage Dive,380.0,43107.0,,Default Target,[],131279388.0,['Power Surge']
39960,40492,Auto,90.0,9517.0,,Default Target,[],6399668.0,['Power Surge']
