sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs
-16000,-16000,Form Shift,,,,,,,[]
-14000,-14000,Meikyo Shisui,,,,,,,[]
-5000,-5000,Reassemble,,,,,,,[]
-2600,-2600,Medica,,,,,,,[]
-2000,-2000,Grade 4 Gemdraught,,,,,,,[]
-300,-300,Thunderclap,,,,,,,[]
-630,37,Onslaught,150.0,12126.0,,Default Target,[],9774958.0,[]
-540,40,Pneuma,380.0,49391.0,,Default Target,[],147266966.0,[]
68,68,Grade 4 Gemdraught,,,,,,,[]
100,100,Swiftcast,,,,,,,[]
-650,110,Gekko,420.0,42462.0,,Default Target,['Meikyo Shisui'],126106180.0,['Meikyo Shisui']
110,110,Ikishoten,,,,,,,[]
-1000,150,Air Anchor,660.0,152217.0,,Default Target,['Reassemble'],19309106.0,"['Grade 4 Gemdraught', 'Reassemble']"
-500,258,Holy Spirit,400.0,31913.0,,Default Target,[],67703560.0,[]
-380,330,Checkmate,180.0,24091.0,,Default Target,[],40811374.0,['Grade 4 Gemdraught']
450,450,Grade 4 Gemdraught,,,,,,,[]
37,569,Auto,90.0,8128.0,,Default Target,[],4391455.0,[]
40,572,Auto,90.0,21.0,,Default Target,[],25.0,[]
-1200,590,Fire III,290.0,33775.0,,Default Target,['3 Astral Fire'],35211484.0,[]
110,642,Auto,90.0,9146.0,,Default Target,[],5850300.0,['Fugetsu']
170,702,Heavy Swing,240.0,19401.0,,Default Target,[],25021639.0,[]
730,730,Grade 4 Gemdraught,,,,,,,[]
258,790,Auto,90.0,5328.0,,Default Target,[],1887023.0,[]
795,795,Infuriate,,,,,,,[]
800,800,Grade 4 Gemdraught,,,,,,,[]
150,908,Shot,80.0,7847.0,,Default Target,[],4329995.0,['Grade 4 Gemdraught']
240,950,Double Check,180.0,24091.0,,Default Target,[],40811374.0,['Grade 4 Gemdraught']
-170,1120,Dia,85.0,10969.0,,Default Target,[],7095404.0,[]
1120,1120,Perfect Balance,,,,,,,[]
590,1122,Auto,90.0,0.0,,Default Target,[],0.0,['Enochian']
-170,1500,Dia (dot),85.0,11244.0,,Default Target,[],7456489.0,[]
1000,1623,Fast Blade,220.0,17548.0,,Default Target,[],20469011.0,[]
1120,1652,Auto,90.0,0.0,,Default Target,[],0.0,['Grade 4 Gemdraught']
500,1790,Dragon Kick,320.0,31758.0,,Default Target,['Formless Fist'],69207756.0,['Formless Fist']
1050,1810,High Thunder,150.0,22191.0,,Default Target,[],15203066.0,['Enochian']
2121,2121,Barrel Stabilizer,,,,,,,[]
2250,2250,Amplifier,,,,,,,[]
1790,2322,Auto,90.0,7776.0,,Default Target,[],4148433.0,[]
1820,2440,Kasha,420.0,51930.0,,Default Target,[],188617385.0,"['Fugetsu', 'Grade 4 Gemdraught']"
1501,2651,Drill,660.0,88349.0,,Default Target,[],548862248.0,['Grade 4 Gemdraught']
1550,2710,Fire IV,300.0,86475.0,,Default Target,['3 Astral Fire'],230834749.0,"['Enochian', 'Grade 4 Gemdraught', 'Swiftcast']"
2950,2950,Ley Lines,,,,,,,[]
2498,3030,Auto,90.0,5328.0,,Default Target,[],1887023.0,[]
2440,3060,Leaping Opo,460.0,63271.0,,Default Target,"['Opo-opo Form', ""Opo-opo's Fury""]",41724975.0,"['Opo-opo Form', ""Opo-opo's Fury""]"
3060,3060,Grade 4 Gemdraught,,,,,,,[]
1770,3190,The Forbidden Chakra,400.0,39702.0,1.0,Default Target,[],108158778.0,[]
2750,3282,Auto,90.0,9898.0,,Default Target,[],6851445.0,"['Fugetsu', 'Fuka', 'Grade 4 Gemdraught']"
2670,3293,Maim,340.0,27490.0,,Default Target,[],50236558.0,[]
2790,3548,Shot,80.0,7847.0,,Default Target,[],4329995.0,['Grade 4 Gemdraught']
3397,3929,Auto,90.0,8128.0,,Default Target,[],4391455.0,[]
3401,4071,Dosis III,380.0,53462.0,,Default Target,[],172533440.0,['Grade 4 Gemdraught']
4125,4125,Grade 4 Gemdraught,,,,,,,[]
3500,4258,Riot Blade,330.0,26327.0,,Default Target,[],46074807.0,[]
3830,4362,Auto,90.0,8418.0,,Default Target,[],4862252.0,['Grade 4 Gemdraught']
3901,4433,Auto,90.0,21.0,,Default Target,[],25.0,['Grade 4 Gemdraught']
-170,4500,Dia (dot),85.0,11244.0,,Default Target,[],7456489.0,[]
940,4500,Eukrasian Dosis III (dot),85.0,12172.0,,Default Target,[],8943404.0,['Grade 4 Gemdraught']
1050,4500,Thunder (dot),60.0,10027.0,,Default Target,[],3103341.0,['Enochian']
3220,4510,Glare III,350.0,49122.0,,Default Target,[],142303382.0,['Grade 4 Gemdraught']
5000,5000,Brotherhood,,,,,,,[]
4001,5031,Chain Saw,660.0,88349.0,,Default Target,[],548862248.0,['Grade 4 Gemdraught']
4291,5091,Yukikaze,340.0,42037.0,,Default Target,['Meikyo Shisui'],123596383.0,"['Fugetsu', 'Fuka', 'Grade 4 Gemdraught']"
4560,5092,Auto,90.0,0.0,,Default Target,[],0.0,['Grade 4 Gemdraught']
3710,5130,The Forbidden Chakra,400.0,0.0,0.0,Default Target,[],126781374.0,['Grade 4 Gemdraught']
5133,5133,Brotherhood,,,,,,,[]
5133,5133,Brotherhood,,,,,,,[]
5133,5133,Brotherhood,,,,,,,[]
5133,5133,Brotherhood,,,,,,,[]
5133,5133,Brotherhood,,,,,,,[]
5133,5133,Brotherhood,,,,,,,[]
5133,5133,Brotherhood,,,,,,,[]
4738,5270,Auto,90.0,5328.0,,Default Target,[],1887023.0,[]
5040,5572,Auto,90.0,9898.0,,Default Target,[],6851445.0,"['Fugetsu', 'Fuka', 'Grade 4 Gemdraught']"
5620,5620,Riddle of Fire,,,,,,,[]
4380,5670,Dragon Kick,320.0,34386.0,,Default Target,['Opo-opo Form'],81138168.0,"['Grade 4 Gemdraught', 'Opo-opo Form']"
5160,5692,Auto,90.0,0.0,,Default Target,[],0.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines']"
5795,5795,Inner Release,,,,,,,[]
4660,5820,Fire IV,300.0,86475.0,,Default Target,['3 Astral Fire'],230834749.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines']"
5430,6188,Shot,80.0,7847.0,,Default Target,[],4329995.0,['Grade 4 Gemdraught']
6252,6252,Presence of Mind,,,,,,,[]
5870,6402,Auto,90.0,10164.0,,Default Target,[],7089566.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Riddle of Fire']"
6420,6420,Grade 4 Gemdraught,,,,,,,[]
5841,6511,Dosis III,380.0,53462.0,,Default Target,[],172533440.0,['Grade 4 Gemdraught']
6000,6578,Royal Authority,460.0,41703.0,,Default Target,[],115607446.0,"['Brotherhood', 'Grade 4 Gemdraught']"
6625,6625,Fight or Flight,,,,,,,[]
5170,6819,Storm's Eye,500.0,40431.0,,Default Target,[],108662410.0,[]
5650,6940,Glare III,350.0,49122.0,,Default Target,[],142303382.0,['Grade 4 Gemdraught']
6320,6940,Leaping Opo,460.0,82711.0,,Default Target,"['Opo-opo Form', ""Opo-opo's Fury""]",71300222.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Opo-opo Form', ""Opo-opo's Fury"", 'Riddle of Fire']"
7122,7122,Automaton Queen,,,,,,,[]
6701,7233,Auto,90.0,22.0,,Default Target,[],29.0,"['Brotherhood', 'Grade 4 Gemdraught']"
6757,7289,Auto,90.0,9387.0,,Default Target,['Surging Tempest'],5859094.0,"['Brotherhood', 'Surging Tempest']"
-170,7500,Dia (dot),85.0,11244.0,,Default Target,[],7456489.0,[]
940,7500,Eukrasian Dosis III (dot),85.0,12172.0,,Default Target,[],8943404.0,['Grade 4 Gemdraught']
1050,7500,Thunder (dot),60.0,10027.0,,Default Target,[],3103341.0,['Enochian']
6978,7510,Auto,90.0,6055.0,,Default Target,[],2437347.0,"['Brotherhood', 'Grade 4 Gemdraught']"
7560,7560,Riddle of Wind,,,,,,,[]
6502,7572,Excavator,660.0,92766.0,,Default Target,[],605119190.0,"['Brotherhood', 'Grade 4 Gemdraught']"
6490,7650,Fire IV,300.0,90799.0,,Default Target,['3 Astral Fire'],254491485.0,"['Brotherhood', 'Enochian', 'Grade 4 Gemdraught', 'Ley Lines']"
7742,7742,Reassemble,,,,,,,[]
7322,7992,Phlegma III,600.0,88681.0,,Default Target,[],474740355.0,"['Brotherhood', 'Grade 4 Gemdraught']"
7041,8071,Tendo Setsugekka,1100.0,197918.0,,Default Target,[],457239242.0,"['Brotherhood', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']"
7541,8073,Auto,90.0,10393.0,,Default Target,[],7554387.0,"['Brotherhood', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']"
6940,8360,The Forbidden Chakra,400.0,6612.0,0.1274,Default Target,[],184856590.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Riddle of Fire']"
7910,8442,Auto,90.0,10164.0,,Default Target,[],7089566.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Riddle of Fire', 'Riddle of Wind']"
7831,8501,Hissatsu: Senei,800.0,103867.0,,Default Target,[],754562566.0,"['Brotherhood', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']"
7250,8540,Imperator,580.0,65732.0,,Default Target,[],287221932.0,"['Brotherhood', 'Fight or Flight', 'Grade 4 Gemdraught']"
7670,8607,Inner Chaos,660.0,115024.0,,Default Target,['Surging Tempest'],11020833.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Surging Tempest']"
8280,8812,Auto,90.0,0.0,,Default Target,[],0.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Presence of Mind']"
8070,8828,Shot,80.0,8239.0,,Default Target,[],4774008.0,"['Brotherhood', 'Grade 4 Gemdraught']"
8295,8918,Upheaval,420.0,42437.0,,Default Target,['Surging Tempest'],119714685.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Surging Tempest']"
8500,9034,Goring Blade,700.0,79331.0,,Default Target,[],418360540.0,"['Brotherhood', 'Fight or Flight', 'Grade 4 Gemdraught']"
7942,9042,Psyche,600.0,88681.0,,Default Target,[],474740355.0,"['Brotherhood', 'Grade 4 Gemdraught']"
8389,9059,Assize,400.0,58947.0,,Default Target,[],204931343.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Presence of Mind']"
7780,9070,Glare III,350.0,51577.0,,Default Target,[],156889948.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Presence of Mind']"
9191,9191,Meikyo Shisui,,,,,,,[]
8820,9352,Auto,90.0,0.0,,Default Target,[],0.0,"['Brotherhood', 'Enochian', 'Grade 4 Gemdraught', 'Ley Lines']"
8930,9462,Auto,90.0,10164.0,,Default Target,[],7089566.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Riddle of Fire', 'Riddle of Wind']"
8320,9480,Fire IV,300.0,90799.0,,Default Target,['3 Astral Fire'],254491485.0,"['Brotherhood', 'Enochian', 'Grade 4 Gemdraught', 'Ley Lines']"
8920,9587,Onslaught,150.0,15152.0,,Default Target,['Surging Tempest'],15261267.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Surging Tempest']"
8571,9601,Tendo Kaeshi Setsugekka,1100.0,197918.0,,Default Target,[],457239242.0,"['Brotherhood', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']"
9060,9640,Afflatus Misery,1400.0,206321.0,,Default Target,[],2510501709.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Presence of Mind']"
8260,9680,Elixir Burst,900.0,116784.0,,Default Target,[],935895271.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Riddle of Fire', 'Riddle of Wind']"
9218,9750,Auto,90.0,7569.0,,Default Target,[],3807948.0,"['Brotherhood', 'Fight or Flight', 'Grade 4 Gemdraught']"
9501,10033,Auto,90.0,22.0,,Default Target,[],29.0,"['Brotherhood', 'Grade 4 Gemdraught']"
9125,10148,Circle of Scorn,140.0,15856.0,,Default Target,[],16712666.0,"['Brotherhood', 'Fight or Flight', 'Grade 4 Gemdraught']"
9002,10152,Drill,660.0,159827.0,,Default Target,['Reassemble'],21288024.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Reassemble']"
8880,10300,The Forbidden Chakra,400.0,28323.0,0.5457,Default Target,[],184856590.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Riddle of Fire', 'Riddle of Wind']"
9622,10332,Checkmate,180.0,25295.0,,Default Target,[],44994323.0,"['Brotherhood', 'Grade 4 Gemdraught']"
9831,10363,Auto,90.0,10393.0,,Default Target,[],7554387.0,"['Brotherhood', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']"
10382,10382,Druochole,,,,,,,[]
9762,10432,Phlegma III,600.0,88681.0,,Default Target,[],474740355.0,"['Brotherhood', 'Grade 4 Gemdraught']"
9950,10482,Auto,90.0,10164.0,,Default Target,[],7089566.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Riddle of Fire', 'Riddle of Wind']"
-170,10500,Dia (dot),85.0,11244.0,,Default Target,[],7456489.0,[]
940,10500,Eukrasian Dosis III (dot),85.0,12172.0,,Default Target,[],8943404.0,['Grade 4 Gemdraught']
1050,10500,Thunder (dot),60.0,10027.0,,Default Target,[],3103341.0,['Enochian']
9125,10500,Circle of Scorn (dot),30.0,3394.0,,Default Target,[],765751.0,"['Brotherhood', 'Fight or Flight', 'Grade 4 Gemdraught']"
10117,10649,Auto,90.0,10160.0,,Default Target,['Surging Tempest'],6861149.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Surging Tempest']"
10170,10793,Fell Cleave,580.0,101081.0,,Default Target,['Surging Tempest'],8515990.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Inner Release', 'Surging Tempest']"
9811,10841,Zanshin,940.0,122043.0,,Default Target,[],1041759072.0,"['Brotherhood', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']"
9530,10950,The Forbidden Chakra,400.0,6986.0,0.1346,Default Target,[],184856590.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Riddle of Fire', 'Riddle of Wind']"
10150,11310,Fire IV,300.0,90799.0,,Default Target,['3 Astral Fire'],254491485.0,"['Brotherhood', 'Enochian', 'Grade 4 Gemdraught', 'Ley Lines']"
10795,11462,Onslaught,150.0,15152.0,,Default Target,['Surging Tempest'],15261267.0,"['Brotherhood', 'Grade 4 Gemdraught', 'Surging Tempest']"
10710,11468,Shot,80.0,8239.0,,Default Target,[],4774008.0,"['Brotherhood', 'Grade 4 Gemdraught']"
10711,11471,Gekko,420.0,54527.0,,Default Target,['Meikyo Shisui'],207948625.0,"['Brotherhood', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Meikyo Shisui']"
10200,11490,Dragon Kick,320.0,41521.0,,Default Target,['Formless Fist'],118302386.0,"['Brotherhood', 'Formless Fist', 'Grade 4 Gemdraught', 'Riddle of Fire', 'Riddle of Wind']"
