sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Dosis III,Eukrasian Dosis III (dot),Phlegma III,Pneuma,Psyche,Toxikon II
-540,40,Pneuma,49391.0,0,0,0,0,49391,0,0
40,572,Auto,21.0,21,0,0,0,49391,0,0
3401,4071,Dosis III,53462.0,21,53462,0,0,49391,0,0
3901,4433,Auto,21.0,42,53462,0,0,49391,0,0
940,4500,Eukrasian Dosis III (dot),12172.0,42,53462,12172,0,49391,0,0
5841,6511,Dosis III,53462.0,42,106924,12172,0,49391,0,0
6701,7233,Auto,22.0,64,106924,12172,0,49391,0,0
940,7500,Eukrasian Dosis III (dot),12172.0,64,106924,24344,0,49391,0,0
7322,7992,Phlegma III,88681.0,64,106924,24344,88681,49391,0,0
7942,9042,Psyche,88681.0,64,106924,24344,88681,49391,88681,0
9501,10033,Auto,22.0,86,106924,24344,88681,49391,88681,0
9762,10432,Phlegma III,88681.0,86,106924,24344,177362,49391,88681,0
940,10500,Eukrasian Dosis III (dot),12172.0,86,106924,36516,177362,49391,88681,0
940,13500,Eukrasian Dosis III (dot),12172.0,86,106924,48688,177362,49391,88681,0
13163,13833,Dosis III,56135.0,86,163059,48688,177362,49391,88681,0
13663,14195,Auto,22.0,108,163059,48688,177362,49391,88681,0
15603,16273,Dosis III,56135.0,108,219194,48688,177362,49391,88681,0
940,16500,Eukrasian Dosis III (dot),12172.0,108,219194,60860,177362,49391,88681,0
16463,16995,Auto,22.0,130,219194,60860,177362,49391,88681,0
18044,18714,Dosis III,56135.0,130,275329,60860,177362,49391,88681,0
940,19500,Eukrasian Dosis III (dot),12172.0,130,275329,73032,177362,49391,88681,0
19263,19795,Auto,22.0,152,275329,73032,177362,49391,88681,0
20484,21154,Dosis III,56135.0,152,331464,73032,177362,49391,88681,0
940,22500,Eukrasian Dosis III (dot),12172.0,152,331464,85204,177362,49391,88681,0
22924,23594,Dosis III,56135.0,152,387599,85204,177362,49391,88681,0
23424,23956,Auto,22.0,174,387599,85204,177362,49391,88681,0
940,25500,Eukrasian Dosis III (dot),12172.0,174,387599,97376,177362,49391,88681,0
26224,26756,Auto,21.0,195,387599,97376,177362,49391,88681,0
25406,28500,Eukrasian Dosis III (dot),12780.0,195,387599,110156,177362,49391,88681,0
27866,28536,Dosis III,53462.0,195,441061,110156,177362,49391,88681,0
29024,29556,Auto,21.0,216,441061,110156,177362,49391,88681,0
30307,30977,Dosis III,53462.0,216,494523,110156,177362,49391,88681,0
25406,31500,Eukrasian Dosis III (dot),12780.0,216,494523,122936,177362,49391,88681,0
32747,33417,Dosis III,49391.0,216,543914,122936,177362,49391,88681,0
33247,33779,Auto,21.0,237,543914,122936,177362,49391,88681,0
25406,34500,Eukrasian Dosis III (dot),12780.0,237,543914,135716,177362,49391,88681,0
35188,35858,Dosis III,49391.0,237,593305,135716,177362,49391,88681,0
36047,36579,Auto,21.0,258,593305,135716,177362,49391,88681,0
25406,37500,Eukrasian Dosis III (dot),12780.0,258,593305,148496,177362,49391,88681,0
37628,38298,Dosis III,49391.0,258,642696,148496,177362,49391,88681,0
38847,39379,Auto,21.0,279,642696,148496,177362,49391,88681,0
25406,40500,Eukrasian Dosis III (dot),12780.0,279,642696,161276,177362,49391,88681,0
40069,40739,Dosis III,49391.0,279,692087,161276,177362,49391,88681,0
42509,43179,Dosis III,49391.0,279,741478,161276,177362,49391,88681,0
25406,43500,Eukrasian Dosis III (dot),12780.0,279,741478,174056,177362,49391,88681,0
43009,43541,Auto,21.0,300,741478,174056,177362,49391,88681,0
44949,45619,Dosis III,49391.0,300,790869,174056,177362,49391,88681,0
45809,46341,Auto,21.0,321,790869,174056,177362,49391,88681,0
25406,46500,Eukrasian Dosis III (dot),12780.0,321,790869,186836,177362,49391,88681,0
47390,48060,Dosis III,49391.0,321,840260,186836,177362,49391,88681,0
48609,49141,Auto,21.0,342,840260,186836,177362,49391,88681,0
25406,49500,Eukrasian Dosis III (dot),12780.0,342,840260,199616,177362,49391,88681,0
49830,50500,Dosis III,49391.0,342,889651,199616,177362,49391,88681,0
25406,52500,Eukrasian Dosis III (dot),12780.0,342,889651,212396,177362,49391,88681,0
52271,52941,Dosis III,49391.0,342,939042,212396,177362,49391,88681,0
52771,53303,Auto,21.0,363,939042,212396,177362,49391,88681,0
