sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4793,14220.71,431.46,33316.768,587.425,325045,25099554,442543
Burst Shot,184.75240000000002,28835.398,53.952,7071.522,169.919,40645,5327409,128010
Refulgent Arrow,91.589,40656.302,34.039,4942.743,233.358,25644,3723670,175803
Shot,248.0,9382.375,26.335,3088.598,53.584,19840,2326829,40368
Heartbreak Shot,89.95719999999999,25680.246,21.493,3066.422,120.27,16192,2310123,90607
Pitch Perfect,32.522099999999995,54854.453,14.324,2368.031,205.961,10791,1783982,155163
Empyreal Arrow,49.0,36168.694,16.911,2352.479,91.997,12740,1772266,69307
Radiant Encore,7.0,209914.571,9.69,1950.462,202.351,7300,1469402,152443
Apex Arrow,12.0,111478.75,10.853,1775.702,327.434,8176,1337745,246676
Blast Arrow,11.658600000000002,114694.903,10.833,1774.955,145.307,8161,1337182,109469
Stormbite (dot),251.0,3665.625,8.329,1221.29,21.246,6275,920072,16006
Resonant Arrow,7.0,128900.857,5.947,1197.707,123.201,4480,902306,92815
Sidewinder,13.0,66380.923,6.902,1145.469,88.091,5200,862952,66364
Caustic Bite (dot),250.0,2934.2,6.637,973.703,16.979,5000,733550,12791
Iron Jaws,18.0,14502.167,2.389,346.499,22.479,1800,261039,16935
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
