sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Cascade,Dance of the Dawn,Double Standard Finish,Fan Dance,Fan Dance III,Fan Dance IV,Finishing Move,Fountain,Fountainfall,Last Dance,Quadruple Technical Finish,Reverse Cascade,Saber Dance,Starfall Dance,Tillana
-600,-70,Double Standard Finish,850,1.0,0,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0
-70,688,Auto,90,1.0,90,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0
3050,3808,Auto,90,1.0,180,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0
6170,6928,Auto,90,1.0,270,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0
6400,6935,Quadruple Technical Finish,1300,1.0,270,0,0,850,0,0,0,0,0,0,0,1300,0,0,0,0
8525,9145,Fan Dance III,220,1.0,270,0,0,850,0,220,0,0,0,0,0,1300,0,0,0,0
7900,9150,Last Dance,540,1.0,270,0,0,850,0,220,0,0,0,0,540,1300,0,0,0,0
9150,9470,Fan Dance IV,460,1.0,270,0,0,850,0,220,460,0,0,0,540,1300,0,0,0,0
9290,10048,Auto,90,1.0,360,0,0,850,0,220,460,0,0,0,540,1300,0,0,0,0
10400,11240,Tillana,505,0.8422,360,0,0,850,0,220,460,0,0,0,540,1300,0,0,0,505
10400,11290,Starfall Dance,65,0.1096,360,0,0,850,0,220,460,0,0,0,540,1300,0,0,65,505
10400,12760,Dance of the Dawn,48,0.0482,360,0,48,850,0,220,460,0,0,0,540,1300,0,0,65,505
12410,13168,Auto,90,1.0,450,0,48,850,0,220,460,0,0,0,540,1300,0,0,65,505
12900,13740,Tillana,27,0.0465,450,0,48,850,0,220,460,0,0,0,540,1300,0,0,65,532
12900,13790,Starfall Dance,1,0.0017,450,0,48,850,0,220,460,0,0,0,540,1300,0,0,66,532
12900,14110,Fountainfall,12,0.0372,450,0,48,850,0,220,460,0,0,12,540,1300,0,0,66,532
13550,14170,Fan Dance,3,0.0187,450,0,48,850,3,220,460,0,0,12,540,1300,0,0,66,532
14200,14820,Fan Dance III,1,0.0087,450,0,48,850,3,221,460,0,0,12,540,1300,0,0,66,532
12900,15260,Dance of the Dawn,914,0.9146,450,0,962,850,3,221,460,0,0,12,540,1300,0,0,66,532
15530,16288,Auto,90,1.0,540,0,962,850,3,221,460,0,0,12,540,1300,0,0,66,532
15400,17450,Finishing Move,850,1.0,540,0,962,850,3,221,460,850,0,12,540,1300,0,0,66,532
17900,18340,Saber Dance,82,0.1536,540,0,962,850,3,221,460,850,0,12,540,1300,0,82,66,532
17900,18740,Tillana,27,0.0461,540,0,962,850,3,221,460,850,0,12,540,1300,0,82,66,559
17900,18790,Starfall Dance,449,0.7496,540,0,962,850,3,221,460,850,0,12,540,1300,0,82,515,559
17900,19110,Fountainfall,4,0.0135,540,0,962,850,3,221,460,850,0,16,540,1300,0,82,515,559
18550,19170,Fan Dance,1,0.0066,540,0,962,850,4,221,460,850,0,16,540,1300,0,82,515,559
18650,19408,Auto,90,1.0,630,0,962,850,4,221,460,850,0,16,540,1300,0,82,515,559
19200,19820,Fan Dance III,0,0.0034,630,0,962,850,4,221,460,850,0,16,540,1300,0,82,515,559
17900,20260,Dance of the Dawn,37,0.0372,630,0,999,850,4,221,460,850,0,16,540,1300,0,82,515,559
20400,20840,Saber Dance,362,0.6709,630,0,999,850,4,221,460,850,0,16,540,1300,0,444,515,559
20400,21020,Reverse Cascade,2,0.008,630,0,999,850,4,221,460,850,0,16,540,1300,2,444,515,559
20400,21240,Tillana,17,0.0295,630,0,999,850,4,221,460,850,0,16,540,1300,2,444,515,576
20400,21290,Starfall Dance,81,0.1353,630,0,999,850,4,221,460,850,0,16,540,1300,2,444,596,576
20400,21610,Fountainfall,53,0.1563,630,0,999,850,4,221,460,850,0,69,540,1300,2,444,596,576
21050,21670,Fan Dance,14,0.0792,630,0,999,850,18,221,460,850,0,69,540,1300,2,444,596,576
21700,22320,Fan Dance III,8,0.0407,630,0,999,850,18,229,460,850,0,69,540,1300,2,444,596,576
21770,22528,Auto,90,1.0,720,0,999,850,18,229,460,850,0,69,540,1300,2,444,596,576
22900,23340,Saber Dance,215,0.399,720,0,999,850,18,229,460,850,0,69,540,1300,2,659,596,576
22900,23520,Reverse Cascade,8,0.0299,720,0,999,850,18,229,460,850,0,69,540,1300,10,659,596,576
22900,23740,Tillana,13,0.0217,720,0,999,850,18,229,460,850,0,69,540,1300,10,659,596,589
22900,23790,Starfall Dance,2,0.0038,720,0,999,850,18,229,460,850,0,69,540,1300,10,659,598,589
22900,24110,Fountainfall,185,0.5456,720,0,999,850,18,229,460,850,0,254,540,1300,10,659,598,589
23550,24170,Fan Dance,51,0.2859,720,0,999,850,69,229,460,850,0,254,540,1300,10,659,598,589
24200,24820,Fan Dance III,32,0.1495,720,0,999,850,69,261,460,850,0,254,540,1300,10,659,598,589
24890,25648,Auto,90,1.0,810,0,999,850,69,261,460,850,0,254,540,1300,10,659,598,589
25400,25840,Saber Dance,216,0.4008,810,0,999,850,69,261,460,850,0,254,540,1300,10,875,598,589
25400,26020,Reverse Cascade,101,0.364,810,0,999,850,69,261,460,850,0,254,540,1300,111,875,598,589
25400,26200,Cascade,0,0.002,810,0,999,850,69,261,460,850,0,254,540,1300,111,875,598,589
25400,26240,Tillana,8,0.014,810,0,999,850,69,261,460,850,0,254,540,1300,111,875,598,597
25400,26610,Fountainfall,74,0.2192,810,0,999,850,69,261,460,850,0,328,540,1300,111,875,598,597
26025,26645,Fan Dance,51,0.2862,810,0,999,850,120,261,460,850,0,328,540,1300,111,875,598,597
26650,27270,Fan Dance III,30,0.1405,810,0,999,850,120,291,460,850,0,328,540,1300,111,875,598,597
27900,28340,Saber Dance,112,0.2085,810,0,999,850,120,291,460,850,0,328,540,1300,111,987,598,597
27900,28520,Reverse Cascade,159,0.5708,810,0,999,850,120,291,460,850,0,328,540,1300,270,987,598,597
27900,28700,Cascade,42,0.1922,810,42,999,850,120,291,460,850,0,328,540,1300,270,987,598,597
28010,28768,Auto,90,1.0,900,42,999,850,120,291,460,850,0,328,540,1300,270,987,598,597
27900,28880,Fountain,0,0.0003,900,42,999,850,120,291,460,850,0,328,540,1300,270,987,598,597
27900,29110,Fountainfall,9,0.0282,900,42,999,850,120,291,460,850,0,337,540,1300,270,987,598,597
30400,30840,Saber Dance,103,0.1911,900,42,999,850,120,291,460,850,0,337,540,1300,270,1090,598,597
30400,31020,Reverse Cascade,24,0.0877,900,42,999,850,120,291,460,850,0,337,540,1300,294,1090,598,597
30400,31200,Cascade,138,0.6311,900,180,999,850,120,291,460,850,0,337,540,1300,294,1090,598,597
30400,31380,Fountain,25,0.0898,900,180,999,850,120,291,460,850,25,337,540,1300,294,1090,598,597
30400,31610,Fountainfall,0,0.0003,900,180,999,850,120,291,460,850,25,337,540,1300,294,1090,598,597
31130,31888,Auto,90,1.0,990,180,999,850,120,291,460,850,25,337,540,1300,294,1090,598,597
32900,33340,Saber Dance,50,0.093,990,180,999,850,120,291,460,850,25,337,540,1300,294,1140,598,597
32900,33520,Reverse Cascade,86,0.3103,990,180,999,850,120,291,460,850,25,337,540,1300,380,1140,598,597
32900,33700,Cascade,43,0.1961,990,223,999,850,120,291,460,850,25,337,540,1300,380,1140,598,597
32900,33880,Fountain,100,0.3586,990,223,999,850,120,291,460,850,125,337,540,1300,380,1140,598,597
32900,34110,Fountainfall,14,0.042,990,223,999,850,120,291,460,850,125,351,540,1300,380,1140,598,597
34250,35008,Auto,90,1.0,1080,223,999,850,120,291,460,850,125,351,540,1300,380,1140,598,597
35400,35840,Saber Dance,95,0.1773,1080,223,999,850,120,291,460,850,125,351,540,1300,380,1235,598,597
35400,36020,Reverse Cascade,29,0.1061,1080,223,999,850,120,291,460,850,125,351,540,1300,409,1235,598,597
35400,36200,Cascade,35,0.1599,1080,258,999,850,120,291,460,850,125,351,540,1300,409,1235,598,597
35400,36380,Fountain,106,0.3801,1080,258,999,850,120,291,460,850,231,351,540,1300,409,1235,598,597
35400,36610,Fountainfall,60,0.1766,1080,258,999,850,120,291,460,850,231,411,540,1300,409,1235,598,597
37370,38128,Auto,90,1.0,1170,258,999,850,120,291,460,850,231,411,540,1300,409,1235,598,597
37900,38340,Saber Dance,90,0.168,1170,258,999,850,120,291,460,850,231,411,540,1300,409,1325,598,597
37900,38520,Reverse Cascade,21,0.0782,1170,258,999,850,120,291,460,850,231,411,540,1300,430,1325,598,597
37900,38700,Cascade,67,0.3083,1170,325,999,850,120,291,460,850,231,411,540,1300,430,1325,598,597
37900,38880,Fountain,71,0.2564,1170,325,999,850,120,291,460,850,302,411,540,1300,430,1325,598,597
37900,39110,Fountainfall,64,0.1891,1170,325,999,850,120,291,460,850,302,475,540,1300,430,1325,598,597
40400,40840,Saber Dance,70,0.1299,1170,325,999,850,120,291,460,850,302,475,540,1300,430,1395,598,597
40400,41020,Reverse Cascade,42,0.152,1170,325,999,850,120,291,460,850,302,475,540,1300,472,1395,598,597
40400,41200,Cascade,78,0.3574,1170,403,999,850,120,291,460,850,302,475,540,1300,472,1395,598,597
