sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,598.9273999999999,12797.567,812.401,33601.44,845.922,612640,25339182,637918
Saber Dance,43.1568,81771.679,30.903,4679.694,404.792,23304,3529004,305258
Auto,242.0,11158.331,28.882,3580.799,61.307,21780,2700316,46232
Finishing Move,13.0,142529.462,14.653,2457.046,179.762,11050,1852883,135560
Fountainfall,35.572199999999995,48456.098,16.037,2285.728,255.521,12094,1723690,192691
Fountain,45.5535,36344.474,16.913,2195.46,175.268,12754,1655618,132171
Quadruple Technical Finish,7.0,213521.714,12.067,1982.008,202.978,9100,1494652,153068
Starfall Dance,7.0,210966.429,5.568,1958.289,51.695,4199,1476765,38984
Double Standard Finish,13.0,109939.846,14.653,1895.238,138.992,11050,1429218,104815
Cascade,49.131600000000006,28601.735,14.332,1863.454,143.149,10808,1405249,107950
Dance of the Dawn,6.999999999999999,200136.857,9.282,1857.763,352.345,7000,1400958,265707
Reverse Cascade,36.5859,37333.372,13.584,1811.241,198.903,10244,1365875,149995
Fan Dance III,31.000099999999996,38077.587,9.044,1565.301,184.466,6820,1180409,139108
Last Dance,13.0,90543.846,9.309,1560.873,140.304,7020,1177070,105805
Fan Dance,35.9273,30738.408,8.574,1464.439,152.307,6466,1104348,114856
Fan Dance IV,13.0,77127.385,7.93,1329.589,160.467,5980,1002656,121010
Tillana,7.000000000000001,120067.286,5.569,1114.52,263.794,4200,840471,198930
