sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs
-1200,-1200,Grade 4 Gemdraught,,,,,,,[]
-600,-70,Double Standard Finish,850.0,105090.0,,Default Target,[],772066351.0,[]
25,25,Flourish,,,,,,,[]
-70,688,Auto,90.0,10937.0,,Default Target,[],8361154.0,"['Grade 4 Gemdraught', 'Standard Finish']"
3491,3491,Dokumori,,,,,,,[]
3050,3808,Auto,90.0,10937.0,,Default Target,[],8361154.0,"['Grade 4 Gemdraught', 'Standard Finish']"
5220,5220,Chain Stratagem,,,,,,,[]
5400,5400,Starry Muse,,,,,,,[]
5473,5473,Divination,,,,,,,[]
5533,5533,Starry Muse,,,,,,,[]
6170,6928,Auto,90.0,13463.0,,Default Target,[],13289510.0,"['Chain Stratagem', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse']"
6400,6935,Quadruple Technical Finish,1300.0,224792.0,,Default Target,[],3705296123.0,"['Chain Stratagem', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse']"
7025,7025,Devilment,,,,,,,[]
8525,9145,Fan Dance III,220.0,46016.0,1.0,Default Target,[],138489288.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
7900,9150,Last Dance,540.0,112962.0,1.0,Default Target,[],834526632.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
9150,9470,Fan Dance IV,460.0,96229.0,1.0,Default Target,[],605633681.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
9290,10048,Auto,90.0,16288.0,,Default Target,[],17353013.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
10400,11240,Tillana,600.0,105716.0,0.8422,Default Target,[],1030484833.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
10400,11290,Starfall Dance,600.0,24169.0,0.1096,Default Target,[],40527900.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
10400,12760,Dance of the Dawn,1000.0,10083.0,0.0482,Default Target,[],2862417157.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
12410,13168,Auto,90.0,16288.0,,Default Target,[],17353013.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
12900,13740,Tillana,600.0,5836.0,0.0465,Default Target,[],1030484833.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
12900,13790,Starfall Dance,600.0,374.0,0.0017,Default Target,[],40527900.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
12900,14110,Fountainfall,340.0,2645.0,0.0372,Default Target,[],330814873.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
13550,14170,Fan Dance,180.0,704.0,0.0187,Default Target,[],92696869.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
14200,14820,Fan Dance III,220.0,400.0,0.0087,Default Target,[],138489288.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
12900,15260,Dance of the Dawn,1000.0,191340.0,0.9146,Default Target,[],2862417157.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
15530,16288,Auto,90.0,16288.0,,Default Target,[],17353013.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
15400,17450,Finishing Move,850.0,177821.0,,Default Target,[],2068007782.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
17900,18340,Saber Dance,540.0,17351.0,0.1536,Default Target,[],834526632.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
17900,18740,Tillana,600.0,5786.0,0.0461,Default Target,[],1030484833.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
17900,18790,Starfall Dance,600.0,165308.0,0.7496,Default Target,[],40527900.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
17900,19110,Fountainfall,340.0,960.0,0.0135,Default Target,[],330814873.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
18550,19170,Fan Dance,180.0,248.0,0.0066,Default Target,[],92696869.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
18650,19408,Auto,90.0,16288.0,,Default Target,[],17353013.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
19200,19820,Fan Dance III,220.0,156.0,0.0034,Default Target,[],138489288.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
17900,20260,Dance of the Dawn,1000.0,7782.0,0.0372,Default Target,[],2862417157.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
20400,20840,Saber Dance,540.0,75786.0,0.6709,Default Target,[],834526632.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
20400,21020,Reverse Cascade,280.0,468.0,0.008,Default Target,[],224372053.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
20400,21240,Tillana,600.0,3702.0,0.0295,Default Target,[],1030484833.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
20400,21290,Starfall Dance,600.0,29837.0,0.1353,Default Target,[],40527900.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
20400,21610,Fountainfall,340.0,11116.0,0.1563,Default Target,[],330814873.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
21050,21670,Fan Dance,180.0,2981.0,0.0792,Default Target,[],92696869.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
21700,22320,Fan Dance III,220.0,1872.0,0.0407,Default Target,[],138489288.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
21770,22528,Auto,90.0,16288.0,,Default Target,[],17353013.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
22900,23340,Saber Dance,540.0,45071.0,0.399,Default Target,[],834526632.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
22900,23520,Reverse Cascade,280.0,1751.0,0.0299,Default Target,[],224372053.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
22900,23740,Tillana,600.0,2723.0,0.0217,Default Target,[],1030484833.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
22900,23790,Starfall Dance,600.0,838.0,0.0038,Default Target,[],40527900.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
22900,24110,Fountainfall,340.0,38804.0,0.5456,Default Target,[],330814873.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
23550,24170,Fan Dance,180.0,10763.0,0.2859,Default Target,[],92696869.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
24200,24820,Fan Dance III,220.0,6879.0,0.1495,Default Target,[],138489288.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
24890,25648,Auto,90.0,15513.0,,Default Target,[],15737822.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
25400,25840,Saber Dance,540.0,43119.0,0.4008,Default Target,[],756945270.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
25400,26020,Reverse Cascade,280.0,20304.0,0.364,Default Target,[],203513890.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
25400,26200,Cascade,220.0,87.0,0.002,Default Target,[],125614212.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
25400,26240,Tillana,600.0,1673.0,0.014,Default Target,[],934674723.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
25400,26610,Fountainfall,340.0,14847.0,0.2192,Default Target,[],300047810.0,"['Chain Stratagem', 'Devilment', 'Divination', 'Grade 4 Gemdraught', 'Standard Finish', 'Starry Muse', 'Technical Finish']"
26025,26645,Fan Dance,180.0,9323.0,0.2862,Default Target,[],76142849.0,"['Devilment', 'Divination', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
26650,27270,Fan Dance III,220.0,5277.0,0.1405,Default Target,[],101240481.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
27900,28340,Saber Dance,540.0,15814.0,0.2085,Default Target,[],402164729.0,"['Grade 4 Gemdraught', 'Standard Finish']"
27900,28520,Reverse Cascade,280.0,22447.0,0.5708,Default Target,[],108122097.0,"['Grade 4 Gemdraught', 'Standard Finish']"
27900,28700,Cascade,220.0,5938.0,0.1922,Default Target,[],66736085.0,"['Grade 4 Gemdraught', 'Standard Finish']"
28010,28768,Auto,90.0,10937.0,,Default Target,[],8361154.0,"['Grade 4 Gemdraught', 'Standard Finish']"
27900,28880,Fountain,280.0,11.0,0.0003,Default Target,[],108122097.0,"['Grade 4 Gemdraught', 'Standard Finish']"
27900,29110,Fountainfall,340.0,1346.0,0.0282,Default Target,[],159416453.0,"['Grade 4 Gemdraught', 'Standard Finish']"
30400,30840,Saber Dance,540.0,13395.0,0.1911,Default Target,[],343515366.0,['Standard Finish']
30400,31020,Reverse Cascade,280.0,3187.0,0.0877,Default Target,[],92327414.0,['Standard Finish']
30400,31200,Cascade,220.0,18021.0,0.6311,Default Target,[],57006898.0,['Standard Finish']
30400,31380,Fountain,280.0,3263.0,0.0898,Default Target,[],92327414.0,['Standard Finish']
30400,31610,Fountainfall,340.0,13.0,0.0003,Default Target,[],136159829.0,['Standard Finish']
31130,31888,Auto,90.0,10105.0,,Default Target,[],7137523.0,['Standard Finish']
32900,33340,Saber Dance,540.0,6519.0,0.093,Default Target,[],343515366.0,['Standard Finish']
32900,33520,Reverse Cascade,280.0,11277.0,0.3103,Default Target,[],92327414.0,['Standard Finish']
32900,33700,Cascade,220.0,5599.0,0.1961,Default Target,[],57006898.0,['Standard Finish']
32900,33880,Fountain,280.0,13032.0,0.3586,Default Target,[],92327414.0,['Standard Finish']
32900,34110,Fountainfall,340.0,1853.0,0.042,Default Target,[],136159829.0,['Standard Finish']
34250,35008,Auto,90.0,10105.0,,Default Target,[],7137523.0,['Standard Finish']
35400,35840,Saber Dance,540.0,12428.0,0.1773,Default Target,[],343515366.0,['Standard Finish']
35400,36020,Reverse Cascade,280.0,3855.0,0.1061,Default Target,[],92327414.0,['Standard Finish']
35400,36200,Cascade,220.0,4566.0,0.1599,Default Target,[],57006898.0,['Standard Finish']
35400,36380,Fountain,280.0,13813.0,0.3801,Default Target,[],92327414.0,['Standard Finish']
35400,36610,Fountainfall,340.0,7793.0,0.1766,Default Target,[],136159829.0,['Standard Finish']
37370,38128,Auto,90.0,10105.0,,Default Target,[],7137523.0,['Standard Finish']
37900,38340,Saber Dance,540.0,11776.0,0.168,Default Target,[],343515366.0,['Standard Finish']
37900,38520,Reverse Cascade,280.0,2841.0,0.0782,Default Target,[],92327414.0,['Standard Finish']
37900,38700,Cascade,220.0,8803.0,0.3083,Default Target,[],57006898.0,['Standard Finish']
37900,38880,Fountain,280.0,9318.0,0.2564,Default Target,[],92327414.0,['Standard Finish']
37900,39110,Fountainfall,340.0,8345.0,0.1891,Default Target,[],136159829.0,['Standard Finish']
40400,40840,Saber Dance,540.0,9105.0,0.1299,Default Target,[],343515366.0,['Standard Finish']
40400,41020,Reverse Cascade,280.0,5524.0,0.152,Default Target,[],92327414.0,['Standard Finish']
40400,41200,Cascade,220.0,10205.0,0.3574,Default Target,[],57006898.0,['Standard Finish']
40490,41248,Auto,90.0,10105.0,,Default Target,[],7137523.0,['Standard Finish']
40400,41380,Fountain,280.0,8387.0,0.2308,Default Target,[],92327414.0,['Standard Finish']
40400,41610,Fountainfall,340.0,5732.0,0.1299,Default Target,[],136159829.0,['Standard Finish']
42900,43340,Saber Dance,540.0,7654.0,0.1092,Default Target,[],343515366.0,['Standard Finish']
