sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.461,13113.418,432.343,30739.973,517.399,325710,23158297,389788
Burst Shot,184.71890000000002,28133.001,53.942,6898.017,162.87,40638,5196697,122700
Refulgent Arrow,91.6413,38026.818,34.059,4625.707,218.926,25659,3484827,164930
Shot,248.0,8905.758,26.335,2931.699,49.797,19840,2208628,37515
Heartbreak Shot,89.94659999999999,24096.542,21.49,2876.977,109.892,16190,2167402,82788
Empyreal Arrow,49.0,34363.694,16.911,2235.079,85.456,12740,1683821,64379
Pitch Perfect,32.5144,48357.312,14.304,2087.059,177.663,10776,1572309,133844
Radiant Encore,7.0,170618.0,9.69,1585.33,162.055,7300,1194326,122086
Apex Arrow,11.999999999999996,98356.167,10.849,1566.678,285.596,8173,1180274,215157
Blast Arrow,11.639800000000001,101186.361,10.814,1563.379,124.713,8147,1177789,93954
Stormbite (dot),251.0,3387.558,8.329,1128.645,19.102,6275,850277,14391
Sidewinder,13.0,58259.462,6.902,1005.325,75.058,5200,757373,56546
Resonant Arrow,7.0,104769.857,5.947,973.489,98.667,4480,733389,74332
Caustic Bite (dot),250.0,2710.88,6.637,899.595,15.261,5000,677720,11497
Iron Jaws,18.0,13468.778,2.389,321.809,20.324,1800,242438,15311
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
