sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,591,36254.924,244.365,28409.785,228.389,184300,21426660,172251
Fell Cleave,71,77087.845,54.601,7257.01,105.577,41180,5473237,79626
Inner Chaos,22,112155.727,19.252,3271.58,20.182,14520,2467426,15221
Auto,225,9289.071,26.85,2771.203,48.381,20250,2090041,36489
Maim,61,30757.82,27.499,2487.705,82.887,20740,1876227,62513
Storm's Path,40,45180.45,26.518,2396.205,98.405,20000,1807218,74217
Primal Ruination,13,130478.462,13.445,2249.032,18.055,10140,1696220,13617
Primal Rend,13,117095.462,12.066,2018.352,16.203,9100,1522241,12220
Heavy Swing,61,21651.77,19.411,1751.204,58.262,14640,1320758,43941
Storm's Eye,21,45087.0,13.922,1255.406,71.265,10500,946827,53748
Upheaval,24,39301.208,13.365,1250.635,67.193,10080,943229,50677
Primal Wrath,13,67772.385,12.066,1168.18,85.928,9100,881041,64807
Onslaught,27,14896.111,5.37,533.274,27.429,4050,402195,20687
