sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Cascade,Dance of the Dawn,Double Standard Finish,Fan Dance,Fan Dance III,Fan Dance IV,Finishing Move,Fountain,Fountainfall,Last Dance,Quadruple Technical Finish,Reverse Cascade,Saber Dance,Starfall Dance,Tillana
-600,-70,Double Standard Finish,850,1.0,0,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0
-70,688,Auto,90,1.0,90,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0
3050,3808,Auto,90,1.0,180,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0
6170,6928,Auto,90,1.0,270,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0
6400,6935,Quadruple Technical Finish,1300,1.0,270,0,0,850,0,0,0,0,0,0,0,1300,0,0,0,0
8525,9145,Fan Dance III,220,1.0,270,0,0,850,0,220,0,0,0,0,0,1300,0,0,0,0
7900,9150,Last Dance,540,1.0,270,0,0,850,0,220,0,0,0,0,540,1300,0,0,0,0
9150,9470,Fan Dance IV,460,1.0,270,0,0,850,0,220,460,0,0,0,540,1300,0,0,0,0
9290,10048,Auto,90,1.0,360,0,0,850,0,220,460,0,0,0,540,1300,0,0,0,0
10400,11240,Tillana,423,0.7062,360,0,0,850,0,220,460,0,0,0,540,1300,0,0,0,423
10400,11290,Starfall Dance,102,0.1703,360,0,0,850,0,220,460,0,0,0,540,1300,0,0,102,423
10400,12760,Dance of the Dawn,123,0.1235,360,0,123,850,0,220,460,0,0,0,540,1300,0,0,102,423
12410,13168,Auto,90,1.0,450,0,123,850,0,220,460,0,0,0,540,1300,0,0,102,423
12900,13740,Tillana,67,0.1131,450,0,123,850,0,220,460,0,0,0,540,1300,0,0,102,490
12900,13790,Starfall Dance,6,0.0104,450,0,123,850,0,220,460,0,0,0,540,1300,0,0,108,490
12900,14110,Fountainfall,11,0.0345,450,0,123,850,0,220,460,0,0,11,540,1300,0,0,108,490
13550,14170,Fan Dance,3,0.0192,450,0,123,850,3,220,460,0,0,11,540,1300,0,0,108,490
14200,14820,Fan Dance III,2,0.0103,450,0,123,850,3,222,460,0,0,11,540,1300,0,0,108,490
12900,15260,Dance of the Dawn,842,0.842,450,0,965,850,3,222,460,0,0,11,540,1300,0,0,108,490
15530,16288,Auto,90,1.0,540,0,965,850,3,222,460,0,0,11,540,1300,0,0,108,490
15400,17450,Finishing Move,850,1.0,540,0,965,850,3,222,460,850,0,11,540,1300,0,0,108,490
17900,18340,Saber Dance,183,0.3397,540,0,965,850,3,222,460,850,0,11,540,1300,0,183,108,490
17900,18740,Tillana,39,0.0651,540,0,965,850,3,222,460,850,0,11,540,1300,0,183,108,529
17900,18790,Starfall Dance,319,0.5326,540,0,965,850,3,222,460,850,0,11,540,1300,0,183,427,529
17900,19110,Fountainfall,9,0.0281,540,0,965,850,3,222,460,850,0,20,540,1300,0,183,427,529
18550,19170,Fan Dance,2,0.0138,540,0,965,850,5,222,460,850,0,20,540,1300,0,183,427,529
18650,19408,Auto,90,1.0,630,0,965,850,5,222,460,850,0,20,540,1300,0,183,427,529
19200,19820,Fan Dance III,1,0.0056,630,0,965,850,5,223,460,850,0,20,540,1300,0,183,427,529
17900,20260,Dance of the Dawn,34,0.0345,630,0,999,850,5,223,460,850,0,20,540,1300,0,183,427,529
20400,20840,Saber Dance,325,0.6024,630,0,999,850,5,223,460,850,0,20,540,1300,0,508,427,529
20400,21020,Reverse Cascade,2,0.008,630,0,999,850,5,223,460,850,0,20,540,1300,2,508,427,529
20400,21240,Tillana,31,0.0528,630,0,999,850,5,223,460,850,0,20,540,1300,2,508,427,560
20400,21290,Starfall Dance,163,0.2733,630,0,999,850,5,223,460,850,0,20,540,1300,2,508,590,560
20400,21610,Fountainfall,21,0.0635,630,0,999,850,5,223,460,850,0,41,540,1300,2,508,590,560
21050,21670,Fan Dance,6,0.0373,630,0,999,850,11,223,460,850,0,41,540,1300,2,508,590,560
21700,22320,Fan Dance III,3,0.0181,630,0,999,850,11,226,460,850,0,41,540,1300,2,508,590,560
21770,22528,Auto,90,1.0,720,0,999,850,11,226,460,850,0,41,540,1300,2,508,590,560
22900,23340,Saber Dance,305,0.5651,720,0,999,850,11,226,460,850,0,41,540,1300,2,813,590,560
22900,23520,Reverse Cascade,3,0.0117,720,0,999,850,11,226,460,850,0,41,540,1300,5,813,590,560
22900,23740,Tillana,21,0.0363,720,0,999,850,11,226,460,850,0,41,540,1300,5,813,590,581
22900,23790,Starfall Dance,7,0.0133,720,0,999,850,11,226,460,850,0,41,540,1300,5,813,597,581
22900,24110,Fountainfall,127,0.3736,720,0,999,850,11,226,460,850,0,168,540,1300,5,813,597,581
23550,24170,Fan Dance,35,0.1948,720,0,999,850,46,226,460,850,0,168,540,1300,5,813,597,581
24200,24820,Fan Dance III,21,0.0986,720,0,999,850,46,247,460,850,0,168,540,1300,5,813,597,581
24890,25648,Auto,90,1.0,810,0,999,850,46,247,460,850,0,168,540,1300,5,813,597,581
25400,25840,Saber Dance,216,0.4001,810,0,999,850,46,247,460,850,0,168,540,1300,5,1029,597,581
25400,26020,Reverse Cascade,49,0.1752,810,0,999,850,46,247,460,850,0,168,540,1300,54,1029,597,581
25400,26200,Cascade,0,0.0001,810,0,999,850,46,247,460,850,0,168,540,1300,54,1029,597,581
25400,26240,Tillana,15,0.0265,810,0,999,850,46,247,460,850,0,168,540,1300,54,1029,597,596
25400,26290,Starfall Dance,0,0.0001,810,0,999,850,46,247,460,850,0,168,540,1300,54,1029,597,596
25400,26610,Fountainfall,135,0.398,810,0,999,850,46,247,460,850,0,303,540,1300,54,1029,597,596
26025,26645,Fan Dance,51,0.2845,810,0,999,850,97,247,460,850,0,303,540,1300,54,1029,597,596
26650,27270,Fan Dance III,31,0.1431,810,0,999,850,97,278,460,850,0,303,540,1300,54,1029,597,596
27900,28340,Saber Dance,69,0.1296,810,0,999,850,97,278,460,850,0,303,540,1300,54,1098,597,596
27900,28520,Reverse Cascade,196,0.7028,810,0,999,850,97,278,460,850,0,303,540,1300,250,1098,597,596
27900,28700,Cascade,14,0.0653,810,14,999,850,97,278,460,850,0,303,540,1300,250,1098,597,596
28010,28768,Auto,90,1.0,900,14,999,850,97,278,460,850,0,303,540,1300,250,1098,597,596
27900,29110,Fountainfall,34,0.1023,900,14,999,850,97,278,460,850,0,337,540,1300,250,1098,597,596
30400,30840,Saber Dance,190,0.3537,900,14,999,850,97,278,460,850,0,337,540,1300,250,1288,597,596
30400,31020,Reverse Cascade,7,0.0281,900,14,999,850,97,278,460,850,0,337,540,1300,257,1288,597,596
30400,31200,Cascade,129,0.5867,900,143,999,850,97,278,460,850,0,337,540,1300,257,1288,597,596
30400,31380,Fountain,8,0.0315,900,143,999,850,97,278,460,850,8,337,540,1300,257,1288,597,596
31130,31888,Auto,90,1.0,990,143,999,850,97,278,460,850,8,337,540,1300,257,1288,597,596
32900,33340,Saber Dance,34,0.0641,990,143,999,850,97,278,460,850,8,337,540,1300,257,1322,597,596
32900,33520,Reverse Cascade,77,0.2767,990,143,999,850,97,278,460,850,8,337,540,1300,334,1322,597,596
32900,33700,Cascade,75,0.3451,990,218,999,850,97,278,460,850,8,337,540,1300,334,1322,597,596
32900,33880,Fountain,83,0.2991,990,218,999,850,97,278,460,850,91,337,540,1300,334,1322,597,596
32900,34110,Fountainfall,5,0.015,990,218,999,850,97,278,460,850,91,342,540,1300,334,1322,597,596
34250,35008,Auto,90,1.0,1080,218,999,850,97,278,460,850,91,342,540,1300,334,1322,597,596
35400,35840,Saber Dance,96,0.1789,1080,218,999,850,97,278,460,850,91,342,540,1300,334,1418,597,596
35400,36020,Reverse Cascade,51,0.1856,1080,218,999,850,97,278,460,850,91,342,540,1300,385,1418,597,596
35400,36200,Cascade,25,0.1145,1080,243,999,850,97,278,460,850,91,342,540,1300,385,1418,597,596
35400,36380,Fountain,103,0.3714,1080,243,999,850,97,278,460,850,194,342,540,1300,385,1418,597,596
35400,36610,Fountainfall,50,0.1496,1080,243,999,850,97,278,460,850,194,392,540,1300,385,1418,597,596
37370,38128,Auto,90,1.0,1170,243,999,850,97,278,460,850,194,392,540,1300,385,1418,597,596
37900,38340,Saber Dance,91,0.1689,1170,243,999,850,97,278,460,850,194,392,540,1300,385,1509,597,596
37900,38520,Reverse Cascade,15,0.0558,1170,243,999,850,97,278,460,850,194,392,540,1300,400,1509,597,596
37900,38700,Cascade,55,0.2534,1170,298,999,850,97,278,460,850,194,392,540,1300,400,1509,597,596
37900,38880,Fountain,92,0.3307,1170,298,999,850,97,278,460,850,286,392,540,1300,400,1509,597,596
37900,39110,Fountainfall,65,0.1912,1170,298,999,850,97,278,460,850,286,457,540,1300,400,1509,597,596
40400,40840,Saber Dance,71,0.1317,1170,298,999,850,97,278,460,850,286,457,540,1300,400,1580,597,596
40400,41020,Reverse Cascade,36,0.1294,1170,298,999,850,97,278,460,850,286,457,540,1300,436,1580,597,596
40400,41200,Cascade,84,0.3859,1170,382,999,850,97,278,460,850,286,457,540,1300,436,1580,597,596
