sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs
-1200,-1200,Grade 4 Gemdraught,,,,,,,[]
-600,-70,Double Standard Finish,850.0,105090.0,,Default Target,[],772066351.0,[]
25,25,Flourish,,,,,,,[]
-70,688,Auto,90.0,10937.0,,Default Target,[],8361154.0,"['Grade 4 Gemdraught', 'Standard Finish']"
3050,3808,Auto,90.0,10937.0,,Default Target,[],8361154.0,"['Grade 4 Gemdraught', 'Standard Finish']"
6170,6928,Auto,90.0,10937.0,,Default Target,[],8361154.0,"['Grade 4 Gemdraught', 'Standard Finish']"
6400,6935,Quadruple Technical Finish,1300.0,182613.0,,Default Target,[],2331284466.0,"['Grade 4 Gemdraught', 'Standard Finish']"
7025,7025,Devilment,,,,,,,[]
8525,9145,Fan Dance III,220.0,37565.0,1.0,Default Target,[],101240481.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
7900,9150,Last Dance,540.0,92216.0,1.0,Default Target,[],610073688.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
9150,9470,Fan Dance IV,460.0,78556.0,1.0,Default Target,[],442748095.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
9290,10048,Auto,90.0,13297.0,,Default Target,[],12684086.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
10400,11240,Tillana,600.0,73707.0,0.7193,Default Target,[],753328406.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
10400,11290,Starfall Dance,600.0,28004.0,0.1563,Default Target,[],26754560.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
10400,12760,Dance of the Dawn,1000.0,21245.0,0.1244,Default Target,[],2092540119.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
12410,13168,Auto,90.0,13297.0,,Default Target,[],12684086.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
12900,13740,Tillana,600.0,11476.0,0.112,Default Target,[],753328406.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
12900,13790,Starfall Dance,600.0,2221.0,0.0124,Default Target,[],26754560.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
12900,14110,Fountainfall,340.0,1828.0,0.0315,Default Target,[],241833466.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
13550,14170,Fan Dance,180.0,516.0,0.0168,Default Target,[],67767966.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
14200,14820,Fan Dance III,220.0,326.0,0.0087,Default Target,[],101240481.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
12900,15260,Dance of the Dawn,1000.0,144159.0,0.8441,Default Target,[],2092540119.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
15530,16288,Auto,90.0,13297.0,,Default Target,[],12684086.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
15400,17450,Finishing Move,850.0,145163.0,,Default Target,[],1511822207.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
17900,18340,Saber Dance,540.0,30219.0,0.3277,Default Target,[],610073688.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
17900,18740,Tillana,600.0,6250.0,0.061,Default Target,[],753328406.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
17900,18790,Starfall Dance,600.0,99261.0,0.554,Default Target,[],26754560.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
17900,19110,Fountainfall,340.0,1497.0,0.0258,Default Target,[],241833466.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
18550,19170,Fan Dance,180.0,402.0,0.0131,Default Target,[],67767966.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
18650,19408,Auto,90.0,13297.0,,Default Target,[],12684086.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
19200,19820,Fan Dance III,220.0,184.0,0.0049,Default Target,[],101240481.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
17900,20260,Dance of the Dawn,1000.0,5379.0,0.0315,Default Target,[],2092540119.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
20400,20840,Saber Dance,540.0,57192.0,0.6202,Default Target,[],610073688.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
20400,21020,Reverse Cascade,280.0,320.0,0.0067,Default Target,[],164026713.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
20400,21240,Tillana,600.0,5051.0,0.0493,Default Target,[],753328406.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
20400,21290,Starfall Dance,600.0,47175.0,0.2633,Default Target,[],26754560.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
20400,21610,Fountainfall,340.0,3512.0,0.0605,Default Target,[],241833466.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
21050,21670,Fan Dance,180.0,965.0,0.0314,Default Target,[],67767966.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
21700,22320,Fan Dance III,220.0,525.0,0.014,Default Target,[],101240481.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
21770,22528,Auto,90.0,13297.0,,Default Target,[],12684086.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
22900,23340,Saber Dance,540.0,51216.0,0.5554,Default Target,[],610073688.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
22900,23520,Reverse Cascade,280.0,592.0,0.0124,Default Target,[],164026713.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
22900,23740,Tillana,600.0,3340.0,0.0326,Default Target,[],753328406.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
22900,23790,Starfall Dance,600.0,2418.0,0.0135,Default Target,[],26754560.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
22900,24110,Fountainfall,340.0,22417.0,0.3861,Default Target,[],241833466.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
23550,24170,Fan Dance,180.0,6116.0,0.199,Default Target,[],67767966.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
24200,24820,Fan Dance III,220.0,3557.0,0.0947,Default Target,[],101240481.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
24890,25648,Auto,90.0,13297.0,,Default Target,[],12684086.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
25400,25840,Saber Dance,540.0,36231.0,0.3929,Default Target,[],610073688.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
25400,26020,Reverse Cascade,280.0,8740.0,0.1828,Default Target,[],164026713.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
25400,26200,Cascade,220.0,7.0,0.0002,Default Target,[],101240481.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
25400,26240,Tillana,600.0,2643.0,0.0258,Default Target,[],753328406.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
25400,26290,Starfall Dance,600.0,89.0,0.0005,Default Target,[],26754560.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
25400,26610,Fountainfall,340.0,23096.0,0.3978,Default Target,[],241833466.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
26025,26645,Fan Dance,180.0,8946.0,0.2911,Default Target,[],67767966.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
26650,27270,Fan Dance III,220.0,5356.0,0.1426,Default Target,[],101240481.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
27900,28340,Saber Dance,540.0,10482.0,0.1382,Default Target,[],402164729.0,"['Grade 4 Gemdraught', 'Standard Finish']"
27900,28520,Reverse Cascade,280.0,27524.0,0.6999,Default Target,[],108122097.0,"['Grade 4 Gemdraught', 'Standard Finish']"
27900,28700,Cascade,220.0,1965.0,0.0636,Default Target,[],66736085.0,"['Grade 4 Gemdraught', 'Standard Finish']"
28010,28768,Auto,90.0,10937.0,,Default Target,[],8361154.0,"['Grade 4 Gemdraught', 'Standard Finish']"
27900,29110,Fountainfall,340.0,4694.0,0.0983,Default Target,[],159416453.0,"['Grade 4 Gemdraught', 'Standard Finish']"
30400,30840,Saber Dance,540.0,24408.0,0.3482,Default Target,[],343515366.0,['Standard Finish']
30400,31020,Reverse Cascade,280.0,1010.0,0.0278,Default Target,[],92327414.0,['Standard Finish']
30400,31200,Cascade,220.0,16984.0,0.5948,Default Target,[],57006898.0,['Standard Finish']
30400,31380,Fountain,280.0,1061.0,0.0292,Default Target,[],92327414.0,['Standard Finish']
31130,31888,Auto,90.0,10105.0,,Default Target,[],7137523.0,['Standard Finish']
32900,33340,Saber Dance,540.0,4086.0,0.0583,Default Target,[],343515366.0,['Standard Finish']
32900,33520,Reverse Cascade,280.0,10659.0,0.2933,Default Target,[],92327414.0,['Standard Finish']
32900,33700,Cascade,220.0,9711.0,0.3401,Default Target,[],57006898.0,['Standard Finish']
32900,33880,Fountain,280.0,10681.0,0.2939,Default Target,[],92327414.0,['Standard Finish']
32900,34110,Fountainfall,340.0,635.0,0.0144,Default Target,[],136159829.0,['Standard Finish']
34250,35008,Auto,90.0,10105.0,,Default Target,[],7137523.0,['Standard Finish']
35400,35840,Saber Dance,540.0,12631.0,0.1802,Default Target,[],343515366.0,['Standard Finish']
35400,36020,Reverse Cascade,280.0,6447.0,0.1774,Default Target,[],92327414.0,['Standard Finish']
35400,36200,Cascade,220.0,3286.0,0.1151,Default Target,[],57006898.0,['Standard Finish']
35400,36380,Fountain,280.0,13930.0,0.3833,Default Target,[],92327414.0,['Standard Finish']
35400,36610,Fountainfall,340.0,6354.0,0.144,Default Target,[],136159829.0,['Standard Finish']
37370,38128,Auto,90.0,10105.0,,Default Target,[],7137523.0,['Standard Finish']
37900,38340,Saber Dance,540.0,11930.0,0.1702,Default Target,[],343515366.0,['Standard Finish']
37900,38520,Reverse Cascade,280.0,2129.0,0.0586,Default Target,[],92327414.0,['Standard Finish']
37900,38700,Cascade,220.0,7215.0,0.2527,Default Target,[],57006898.0,['Standard Finish']
37900,38880,Fountain,280.0,11822.0,0.3253,Default Target,[],92327414.0,['Standard Finish']
37900,39110,Fountainfall,340.0,8526.0,0.1932,Default Target,[],136159829.0,['Standard Finish']
40400,40840,Saber Dance,540.0,9463.0,0.135,Default Target,[],343515366.0,['Standard Finish']
40400,41020,Reverse Cascade,280.0,4717.0,0.1298,Default Target,[],92327414.0,['Standard Finish']
40400,41200,Cascade,220.0,10993.0,0.385,Default Target,[],57006898.0,['Standard Finish']
40490,41248,Auto,90.0,10105.0,,Default Target,[],7137523.0,['Standard Finish']
40400,41380,Fountain,280.0,6687.0,0.184,Default Target,[],92327414.0,['Standard Finish']
40400,41610,Fountainfall,340.0,7334.0,0.1662,Default Target,[],136159829.0,['Standard Finish']
42900,43340,Saber Dance,540.0,8061.0,0.115,Default Target,[],343515366.0,['Standard Finish']
42900,43520,Reverse Cascade,280.0,7152.0,0.1968,Default Target,[],92327414.0,['Standard Finish']
42900,43700,Cascade,220.0,8243.0,0.2887,Default Target,[],57006898.0,['Standard Finish']
42900,43880,Fountain,280.0,11066.0,0.3045,Default Target,[],92327414.0,['Standard Finish']
42900,44110,Fountainfall,340.0,4192.0,0.095,Default Target,[],136159829.0,['Standard Finish']
43550,44170,Fan Dance,180.0,11.0,0.0005,Default Target,[],38148053.0,['Standard Finish']
43610,44368,Auto,90.0,10105.0,,Default Target,[],7137523.0,['Standard Finish']
44200,44820,Fan Dance III,220.0,11.0,0.0004,Default Target,[],57006898.0,['Standard Finish']
46730,47488,Auto,90.0,10105.0,,Default Target,[],7137523.0,['Standard Finish']
48900,49430,Double Standard Finish,850.0,110344.0,,Default Target,[],851192682.0,['Standard Finish']
49850,50608,Auto,90.0,10105.0,,Default Target,[],7137523.0,['Standard Finish']
50400,50840,Saber Dance,540.0,9666.0,0.1379,Default Target,[],343515366.0,['Standard Finish']
50400,51020,Reverse Cascade,280.0,5175.0,0.1424,Default Target,[],92327414.0,['Standard Finish']
50400,51200,Cascade,220.0,6844.0,0.2397,Default Target,[],57006898.0,['Standard Finish']
50400,51380,Fountain,280.0,11724.0,0.3226,Default Target,[],92327414.0,['Standard Finish']
50400,51610,Fountainfall,340.0,6946.0,0.1574,Default Target,[],136159829.0,['Standard Finish']
51050,51670,Fan Dance,180.0,107.0,0.0046,Default Target,[],38148053.0,['Standard Finish']
51700,52320,Fan Dance III,220.0,74.0,0.0026,Default Target,[],57006898.0,['Standard Finish']
52900,53340,Saber Dance,540.0,13094.0,0.1868,Default Target,[],343515366.0,['Standard Finish']
52900,53520,Reverse Cascade,280.0,4248.0,0.1169,Default Target,[],92327414.0,['Standard Finish']
52900,53700,Cascade,220.0,7921.0,0.2774,Default Target,[],57006898.0,['Standard Finish']
52970,53728,Auto,90.0,10105.0,,Default Target,[],7137523.0,['Standard Finish']
52900,53880,Fountain,280.0,9525.0,0.2621,Default Target,[],92327414.0,['Standard Finish']
52900,54110,Fountainfall,340.0,6919.0,0.1568,Default Target,[],136159829.0,['Standard Finish']
53550,54170,Fan Dance,180.0,168.0,0.0072,Default Target,[],38148053.0,['Standard Finish']
54200,54820,Fan Dance III,220.0,97.0,0.0034,Default Target,[],57006898.0,['Standard Finish']
55400,55840,Saber Dance,540.0,10591.0,0.1511,Default Target,[],343515366.0,['Standard Finish']
55400,56020,Reverse Cascade,280.0,5200.0,0.1431,Default Target,[],92327414.0,['Standard Finish']
55400,56200,Cascade,220.0,8629.0,0.3022,Default Target,[],57006898.0,['Standard Finish']
55400,56380,Fountain,280.0,9823.0,0.2703,Default Target,[],92327414.0,['Standard Finish']
55400,56610,Fountainfall,340.0,5882.0,0.1333,Default Target,[],136159829.0,['Standard Finish']
56050,56670,Fan Dance,180.0,261.0,0.0112,Default Target,[],38148053.0,['Standard Finish']
56090,56848,Auto,90.0,10105.0,,Default Target,[],7137523.0,['Standard Finish']
56700,57320,Fan Dance III,220.0,165.0,0.0058,Default Target,[],57006898.0,['Standard Finish']
57900,58340,Saber Dance,540.0,10563.0,0.1507,Default Target,[],343515366.0,['Standard Finish']
57900,58520,Reverse Cascade,280.0,5389.0,0.1483,Default Target,[],92327414.0,['Standard Finish']
