sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4805999999999,14507.204,432.621,34007.232,608.727,325920,25619722,458591
Burst Shot,184.55169999999998,28999.684,53.893,7104.086,171.722,40601,5351941,129369
Refulgent Arrow,91.80460000000001,41430.527,34.12,5048.726,236.128,25705,3803513,177890
Shot,248.0,9506.004,26.335,3129.295,54.595,19840,2357489,41130
Heartbreak Shot,89.9449,26104.115,21.49,3116.609,123.076,16190,2347932,92721
Pitch Perfect,32.5357,56548.376,14.321,2442.177,213.458,10789,1839841,160811
Empyreal Arrow,49.0,36650.898,16.911,2383.843,93.784,12740,1795894,70653
Radiant Encore,7.0,220410.286,9.69,2047.985,212.468,7300,1542872,160065
Apex Arrow,12.0,114953.25,10.85,1831.046,344.224,8174,1379439,259325
Blast Arrow,11.643699999999999,118346.402,10.818,1829.123,150.678,8150,1377990,113515
Resonant Arrow,7.0,135345.857,5.947,1257.592,129.36,4480,947421,97455
Stormbite (dot),251.0,3739.968,8.329,1246.059,21.821,6275,938732,16439
Sidewinder,13.0,68550.0,6.902,1182.899,91.475,5200,891150,68914
Caustic Bite (dot),250.0,2993.9,6.637,993.514,17.439,5000,748475,13138
Iron Jaws,18.0,14778.111,2.389,353.092,23.058,1800,266006,17371
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
