sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4727,14547.035,429.044,34004.054,603.188,323225,25617328,454418
Burst Shot,184.7669,28999.61,53.956,7112.351,171.722,40648,5358168,129369
Refulgent Arrow,91.58970000000001,41440.566,34.041,5038.128,237.196,25645,3795529,178694
Shot,248.0,9506.004,26.335,3129.295,54.595,19840,2357489,41130
Heartbreak Shot,89.9577,26103.624,21.493,3116.994,123.076,16192,2348222,92721
Pitch Perfect,32.51500000000001,56543.995,14.312,2440.434,213.458,10782,1838528,160811
Empyreal Arrow,49.0,36650.898,16.911,2383.843,93.784,12740,1795894,70653
Radiant Encore,7.0,220410.286,9.69,2047.985,212.468,7300,1542872,160065
Apex Arrow,12.0,114973.667,10.853,1831.372,333.576,8176,1379684,251303
Blast Arrow,11.6434,118361.561,10.818,1829.31,150.678,8150,1378131,113515
Resonant Arrow,7.0,135345.857,5.947,1257.592,129.36,4480,947421,97455
Stormbite (dot),251.0,3739.968,8.329,1246.059,21.821,6275,938732,16439
Sidewinder,13.0,68550.0,6.902,1182.899,91.475,5200,891150,68914
Caustic Bite (dot),250.0,2993.9,6.637,993.514,17.439,5000,748475,13138
Iron Jaws,18.0,14778.111,2.389,353.092,23.058,1800,266006,17371
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
