sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4757,14474.628,434.665,34007.723,612.664,327460,25620092,461557
Burst Shot,184.6467,28999.137,53.921,7107.608,171.722,40622,5354595,129369
Refulgent Arrow,91.6995,41436.878,34.081,5043.719,237.196,25675,3799741,178694
Shot,248.0,9506.004,26.335,3129.295,54.595,19840,2357489,41130
Heartbreak Shot,89.9662,26103.237,21.494,3117.243,123.076,16193,2348409,92721
Pitch Perfect,32.5095,56584.414,14.32,2441.766,213.458,10788,1839531,160811
Empyreal Arrow,49.0,36650.898,16.911,2383.843,93.784,12740,1795894,70653
Radiant Encore,7.0,220410.286,9.69,2047.985,212.468,7300,1542872,160065
Apex Arrow,12.0,114984.833,10.854,1831.55,350.42,8177,1379818,263993
Blast Arrow,11.653800000000002,118324.667,10.827,1830.373,150.678,8157,1378932,113515
Resonant Arrow,7.0,135345.857,5.947,1257.592,129.36,4480,947421,97455
Stormbite (dot),251.0,3739.968,8.329,1246.059,21.821,6275,938732,16439
Sidewinder,13.0,68550.0,6.902,1182.899,91.475,5200,891150,68914
Caustic Bite (dot),250.0,2993.9,6.637,993.514,17.439,5000,748475,13138
Iron Jaws,18.0,14778.111,2.389,353.092,23.058,1800,266006,17371
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
