sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4238,14514.085,431.646,34004.096,606.251,325185,25617360,456726
Burst Shot,184.57809999999998,29000.174,53.901,7105.222,171.722,40607,5352797,129369
Refulgent Arrow,91.7781,41430.08,34.11,5047.214,236.446,25697,3802374,178129
Shot,248.0,9506.004,26.335,3129.295,54.595,19840,2357489,41130
Heartbreak Shot,89.9349,26104.304,21.488,3116.286,123.076,16188,2347688,92721
Pitch Perfect,32.4889,56574.522,14.309,2439.792,213.458,10780,1838044,160811
Empyreal Arrow,49.0,36650.898,16.911,2383.843,93.784,12740,1795894,70653
Radiant Encore,7.0,220410.286,9.69,2047.985,212.468,7300,1542872,160065
Apex Arrow,11.999999999999998,114940.667,10.849,1830.846,339.606,8173,1379288,255846
Blast Arrow,11.643799999999999,118355.09,10.818,1829.273,150.678,8150,1378103,113515
Resonant Arrow,7.0,135345.857,5.947,1257.592,129.36,4480,947421,97455
Stormbite (dot),251.0,3739.968,8.329,1246.059,21.821,6275,938732,16439
Sidewinder,13.0,68550.0,6.902,1182.899,91.475,5200,891150,68914
Caustic Bite (dot),250.0,2993.9,6.637,993.514,17.439,5000,748475,13138
Iron Jaws,18.0,14778.111,2.389,353.092,23.058,1800,266006,17371
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
