sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4652999999998,14209.578,432.157,33309.549,588.225,325570,25094115,443146
Burst Shot,184.6604,28810.433,53.925,7061.881,169.71,40625,5320146,127853
Refulgent Arrow,91.7043,40686.827,34.083,4952.681,232.294,25677,3731157,175001
Shot,248.0,9378.19,26.335,3087.22,53.557,19840,2325791,40348
Heartbreak Shot,89.9393,25681.209,21.489,3065.927,120.27,16189,2309750,90607
Pitch Perfect,32.526,54785.495,14.319,2365.337,205.855,10787,1781953,155083
Empyreal Arrow,49.0,36168.694,16.911,2352.479,91.997,12740,1772266,69307
Radiant Encore,7.0,209914.571,9.69,1950.462,202.351,7300,1469402,152443
Apex Arrow,11.999999999999998,111462.167,10.85,1775.438,329.799,8174,1337546,248458
Blast Arrow,11.6353,114750.63,10.81,1772.269,145.307,8144,1335158,109469
Stormbite (dot),251.0,3665.625,8.329,1221.29,21.246,6275,920072,16006
Resonant Arrow,7.0,128900.857,5.947,1197.707,123.201,4480,902306,92815
Sidewinder,13.0,66380.923,6.902,1145.469,88.091,5200,862952,66364
Caustic Bite (dot),250.0,2934.2,6.637,973.703,16.979,5000,733550,12791
Iron Jaws,18.0,14502.167,2.389,346.499,22.479,1800,261039,16935
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
